trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,aws_link_tabix,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR.x,lambda_gc_MID,filename,filename_tabix,aws_link,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,ICD10_code,to_remove,new_pheno_annot,lambda_gc_EUR.y,phenotype_qc_EUR,pops_pass_qc,sldsc_25bin_h2_observed_EUR,ICD10_code_new,similar_BNF_product_description,score,to_remove_dups,DM+D: Product Description,BNF Code,SNOMED Code,AB_PRESUMED.DIAGNOSIS
categorical,20003,both_sexes,1140879818,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,metoprolol,UK Biobank Assessment Centre > Verbal interview > Medications,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879818.tsv.bgz.tbi,935,326,609,EUR,1,,,,,794,,,,,,419679,,,,,,0.085118,,,,,,0.98571,,categorical-20003-both_sexes-1140879818.tsv.bgz,categorical-20003-both_sexes-1140879818.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879818.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879818.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879818.tsv.bgz.tbi,534914134,1752040,2a4956bd46b0ae61501f0d9438db0e54,91d421200b86a06dbf232ea6cd0ecc62,CA_Medications_h0.08512_n935,,0,CA_PR_metoprolol_h0.08512,1.01,h2_z_insignificant,,-0.0005,I10_I25_I48,Metoprolol 50mg tablets,55,0,Metoprolol 50mg tablets,0204000K0AAABAB,1.30E+15,HTN/IHD/AF
prescriptions,nebivolol,both_sexes,,,,,nebivolol,"selective beta1 antagonist,beta blocker",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-nebivolol-both_sexes.tsv.bgz.tbi,553,203,290,EUR,1,,,,,439,,,,,,420092,,,,,,0.20228,,,,,,0.98437,,prescriptions-nebivolol-both_sexes.tsv.bgz,prescriptions-nebivolol-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-nebivolol-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-nebivolol-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-nebivolol-both_sexes.tsv.bgz.tbi,528611162,1751446,0a805af9dcbd9dbb90227171fbd449b5,ab64a742926709844317e562db3749c5,PR_nebivolol_h0.20228_n553,,0,PR_nebivolol_h0.20228,1,h2_z_insignificant,,-0.0007,I10_I50,Nebivolol 5mg tablets,53,1,Nebivolol 5mg tablets,0204000ABAAAAAA,1.66E+16,HTN/HF
categorical,20003,both_sexes,1141193282,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,olmesartan,UK Biobank Assessment Centre > Verbal interview > Medications,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1141193282.tsv.bgz.tbi,580,249,331,EUR,1,,,,,519,,,,,,419954,,,,,,0.16407,,,,,,1.0173,,categorical-20003-both_sexes-1141193282.tsv.bgz,categorical-20003-both_sexes-1141193282.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1141193282.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1141193282.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1141193282.tsv.bgz.tbi,530753181,1751361,185581a4f9802c6b4f0a873cdfc93e51,cc17be2bd15569811320699a5d1dfc75,CA_Medications_h0.16407_n580,,0,CA_PR_olmesartan_h0.16407,1.01,h2_z_insignificant,,-0.0006,I10_I50,Telmisartan 40mg tablets,47,1,Telmisartan 40mg tablets,0205052Q0AAAAAA,2.15E+16,HTN/HF
prescriptions,olmesartan,both_sexes,,,,,olmesartan,"angiotensin receptor blocker,ARB,anti-hypertensive",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-olmesartan-both_sexes.tsv.bgz.tbi,557,239,268,EUR,1,,,,,465,,,,,,420066,,,,,,0.17689,,,,,,1.0001,,prescriptions-olmesartan-both_sexes.tsv.bgz,prescriptions-olmesartan-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-olmesartan-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-olmesartan-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-olmesartan-both_sexes.tsv.bgz.tbi,529354812,1751432,b13d66da12d029e1e3775ad979cea892,af92c5b96add6a353b20f3628fe9e7be,PR_olmesartan_h0.17689_n557,,0,PR_olmesartan_h0.17689,1.01,h2_z_insignificant,,-7.43E-05,I10_I50,Telmisartan 40mg tablets,47,1,Telmisartan 40mg tablets,0205052Q0AAAAAA,2.15E+16,HTN/HF
prescriptions,prostaglandin analog/beta antagonist combination|prostaglandin analog|beta blocker,both_sexes,,,,,prostaglandin analog/beta antagonist combination|prostaglandin analog|beta blocker,,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-prostaglandin_analog_beta_antagonist_combination|prostaglandin_analog|beta_blocker-both_sexes.tsv.bgz.tbi,490,190,261,EUR,1,,,,,421,,,,,,420110,,,,,,0.19299,,,,,,0.99804,,prescriptions-prostaglandin_analog_beta_antagonist_combination|prostaglandin_analog|beta_blocker-both_sexes.tsv.bgz,prescriptions-prostaglandin_analog_beta_antagonist_combination|prostaglandin_analog|beta_blocker-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-prostaglandin_analog_beta_antagonist_combination|prostaglandin_analog|beta_blocker-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-prostaglandin_analog_beta_antagonist_combination|prostaglandin_analog|beta_blocker-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-prostaglandin_analog_beta_antagonist_combination|prostaglandin_analog|beta_blocker-both_sexes.tsv.bgz.tbi,527967682,1751596,40ca0fbc7d4d76bfdaf25ada268dd512,c7a94e345221ac6a5c4ed63bc36900bc,PR_prostaglandin_analog_beta_antagonist_combination_prostaglandin_analog_beta_blocker_h0.19299_n490,,0,PR_prostaglandin_analog_beta_antagonist_combination_prostaglandin_analog_beta_blocker_h0.19299,0.988,h2_z_insignificant,,0.0049,I10_I50,Welland Wound Manager bag with inspection window large (Welland Medical Ltd),41,0,Welland Wound Manager bag with inspection window large (Welland Medical Ltd),20031500005,2.02E+16,HTN/HF
prescriptions,nifedipine,both_sexes,,,,,nifedipine,"calcium channel blocker,anti-hypertensive,dihydropyridine",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-nifedipine-both_sexes.tsv.bgz.tbi,602,265,290,EUR,1,,,,,513,,,,,,420018,,,,,,0.21866,,,,,,1.0082,,prescriptions-nifedipine-both_sexes.tsv.bgz,prescriptions-nifedipine-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-nifedipine-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-nifedipine-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-nifedipine-both_sexes.tsv.bgz.tbi,530741025,1751244,8ded86f09532696b2c0f6feb06e78b53,1bbb873f33240e15d24af8d1b6aa3a58,PR_nifedipine_h0.21866_n602,,0,PR_nifedipine_h0.21866,0.998,h2_z_insignificant,,0.0016,I10_I73,Nifedipine 2% ointment,56,0,Nifedipine 2% ointment,0107040B0AAAAAA,2.22E+16,HTN/Raynauds
categorical,20003,both_sexes,1140879806,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,diltiazem,UK Biobank Assessment Centre > Verbal interview > Medications,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879806.tsv.bgz.tbi,992,404,588,EUR,1,,,,,856,,,,,,419617,,,,,,0.11243,,,,,,1.024,,categorical-20003-both_sexes-1140879806.tsv.bgz,categorical-20003-both_sexes-1140879806.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879806.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140879806.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140879806.tsv.bgz.tbi,535824768,1751735,37403e7431c2e41921cbe396e4a2c13e,ea66049201939bbdc513ffc8ea53b8ba,CA_Medications_h0.11243_n992,,0,CA_PR_diltiazem_h0.11243,1.01,h2_z_insignificant,,-0.0013,I20_I25,Diltiazem 2% gel,64,0,Diltiazem 2% gel,0107010AAAAABAB,8.78E+15,Angina/IHD
categorical,20003,both_sexes,1140851812,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,gtn 400micrograms spray,UK Biobank Assessment Centre > Verbal interview > Medications,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140851812.tsv.bgz.tbi,1119,394,725,EUR,1,,,,,1000,,,,,,419473,,,,,,0.15787,,,,,,1.0221,,categorical-20003-both_sexes-1140851812.tsv.bgz,categorical-20003-both_sexes-1140851812.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140851812.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140851812.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140851812.tsv.bgz.tbi,536136797,1751780,b6db549860e0a89b6a69f39fc3bbe7db,fe156e3cbabdfc43ef9912521b6b335c,CA_Medications_h0.15787_n1119,,0,CA_PR_gtn_400micrograms_spray_h0.15787,1,h2_z_insignificant,,0.0019,I20_I25,Fentanyl 400micrograms/dose nasal spray,71,1,Fentanyl 400micrograms/dose nasal spray,0407020A0AABPBP,1.77E+16,Angina/IHD
categorical,20003,both_sexes,1140860834,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,glyceryl trinitrate,UK Biobank Assessment Centre > Verbal interview > Medications,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140860834.tsv.bgz.tbi,1469,469,1000,EUR,1,,,,,1299,,,,,,419174,,,,,,0.082864,,,,,,1.037,,categorical-20003-both_sexes-1140860834.tsv.bgz,categorical-20003-both_sexes-1140860834.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140860834.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140860834.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140860834.tsv.bgz.tbi,538890966,1751990,05dad86ff95c2b02f99fdb2170f4457d,fe858c1a6bc117c1a0f97475de80a82a,CA_Medications_h0.08286_n1469,T65.5,0,CA_PR_glyceryl_trinitrate_h0.08286,1.02,h2_z_insignificant,,-0.002,I20_I25,Glyceryl trinitrate 0.2% cream,73,1,Glyceryl trinitrate 0.2% cream,0107040A0AAAYAY,3.68E+16,Angina/IHD
categorical,20003,both_sexes,1140923670,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,gtn - glyceryl trinitrate,UK Biobank Assessment Centre > Verbal interview > Medications,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140923670.tsv.bgz.tbi,814,294,520,EUR,1,,,,,710,,,,,,419763,,,,,,0.11692,,,,,,0.99841,,categorical-20003-both_sexes-1140923670.tsv.bgz,categorical-20003-both_sexes-1140923670.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140923670.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140923670.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140923670.tsv.bgz.tbi,533856438,1751662,0b1cbb766161c5ffb318997095c05ed2,01bdf63c494cdd3e02395832dab6d922,CA_Medications_h0.11692_n814,,0,CA_PR_gtn_glyceryl_trinitrate_h0.11692,1.04,h2_z_insignificant,,0.0002,I20_I25,Glyceryl trinitrate 0.2% cream,65,1,Glyceryl trinitrate 0.2% cream,0107040A0AAAYAY,3.68E+16,Angina/IHD
categorical,20003,both_sexes,1141157252,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,glyceryl trinitrate product,UK Biobank Assessment Centre > Verbal interview > Medications,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1141157252.tsv.bgz.tbi,434,147,287,EUR,1,,,,,390,,,,,,420083,,,,,,0.16938,,,,,,0.98718,,categorical-20003-both_sexes-1141157252.tsv.bgz,categorical-20003-both_sexes-1141157252.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1141157252.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1141157252.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1141157252.tsv.bgz.tbi,527059967,1751018,d5e5dc156e15353cdc1dad7ef26a8335,7c51e49d845d01d62692599327417797,CA_Medications_h0.16938_n434,O02.9,0,CA_PR_glyceryl_trinitrate_product_h0.16938,0.999,h2_z_insignificant,,-0.0004,I20_I25,Glyceryl trinitrate 2% ointment,72,1,Glyceryl trinitrate 2% ointment,0206010F0AAAFAF,2.84E+15,Angina/IHD
prescriptions,amiodarone,both_sexes,,,,,amiodarone,anti-arrhythmic,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-amiodarone-both_sexes.tsv.bgz.tbi,1394,289,981,EUR,1,,,,,1213,,,,,,419318,,,,,,0.077384,,,,,,1.0174,,prescriptions-amiodarone-both_sexes.tsv.bgz,prescriptions-amiodarone-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-amiodarone-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-amiodarone-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-amiodarone-both_sexes.tsv.bgz.tbi,538727346,1751838,17269a32d5d9f8424432d692b4706a76,149f003277eb87f64641ea4d12c20086,PR_amiodarone_h0.07738_n1394,T46.2X5A,0,PR_amiodarone_h0.07738,0.987,h2_z_insignificant,,0.001,I48,Amiodarone 100mg tablets,53,1,Amiodarone 100mg tablets,0203020D0AAAAAA,1.29E+15,AF
categorical,20003,both_sexes,2038459814,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,digoxin,UK Biobank Assessment Centre > Verbal interview > Medications,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-2038459814.tsv.bgz.tbi,1192,355,837,EUR,1,,,,,1082,,,,,,419391,,,,,,0.15375,,,,,,1.0251,,categorical-20003-both_sexes-2038459814.tsv.bgz,categorical-20003-both_sexes-2038459814.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-2038459814.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-2038459814.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-2038459814.tsv.bgz.tbi,538074466,1752304,1c98cff8c59e48d7f21aee976dd23660,2be4d359cbcfc7f423c6923cfbf6c0b5,CA_Medications_h0.15375_n1192,T46.0X1A,0,CA_PR_digoxin_h0.15375,1.01,h2_z_insignificant,,0.0035,I48,Carbon dioxide,48,1,Carbon dioxide,,1.46E+16,AF
prescriptions,digoxin,both_sexes,,,,,digoxin,"sodium/potassium transporter inhibitor,heart failure",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-digoxin-both_sexes.tsv.bgz.tbi,1816,568,1098,EUR,1,,,,,1600,,,,,,418931,,,,,,0.22051,,,,,,1.0184,,prescriptions-digoxin-both_sexes.tsv.bgz,prescriptions-digoxin-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-digoxin-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-digoxin-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-digoxin-both_sexes.tsv.bgz.tbi,540991522,1752023,41a18a19bf4b7ffe5facac777dd3ceef,bdf568fcd74cedcd274f86d85d21ec38,PR_digoxin_h0.22051_n1816,T46.0X1A,0,PR_digoxin_h0.22051,1.05,h2_z_insignificant,,0.0036,I48,Carbon dioxide,48,0,Carbon dioxide,,1.46E+16,AF
prescriptions,anti-arrhythmic|non-selective beta-blocker|beta blocker,both_sexes,,,,,anti-arrhythmic|non-selective beta-blocker|beta blocker,,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-anti-arrhythmic|non-selective_beta-blocker|beta_blocker-both_sexes.tsv.bgz.tbi,1084,452,535,EUR,1,,,,,947,,,,,,419584,,,,,,0.23745,,,,,,1.0315,,prescriptions-anti-arrhythmic|non-selective_beta-blocker|beta_blocker-both_sexes.tsv.bgz,prescriptions-anti-arrhythmic|non-selective_beta-blocker|beta_blocker-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-anti-arrhythmic|non-selective_beta-blocker|beta_blocker-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-anti-arrhythmic|non-selective_beta-blocker|beta_blocker-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-anti-arrhythmic|non-selective_beta-blocker|beta_blocker-both_sexes.tsv.bgz.tbi,536883876,1751411,4411e74061d41076324d14ec215cd763,cfed2bf93c81e66716f0648d7ed3e139,PR_anti-arrhythmic_non-selective_beta-blocker_beta_blocker_h0.23745_n1084,Z79.1,0,PR_anti_arrhythmic_non_selective_beta_blocker_beta_blocker_h0.23745,1.02,h2_z_insignificant,,0.0034,I48,Elasticated viscose stockinette socks 8-14 years,43,1,Elasticated viscose stockinette socks 8-14 years,,8.63E+15,AF
categorical,20003,both_sexes,1140888570,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,flecainide,UK Biobank Assessment Centre > Verbal interview > Medications,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140888570.tsv.bgz.tbi,738,324,414,EUR,1,,,,,674,,,,,,419799,,,,,,0.057659,,,,,,0.98037,,categorical-20003-both_sexes-1140888570.tsv.bgz,categorical-20003-both_sexes-1140888570.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140888570.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140888570.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140888570.tsv.bgz.tbi,533470283,1751855,11ce7b0fa749e11ffe84536f56d5e6ba,51ea054a025bde6ca7d16bca9e3bfbf4,CA_Medications_h0.05766_n738,,0,CA_PR_flecainide_h0.05766,1.01,h2_z_insignificant,,0.0005,I48,Flecainide 50mg tablets,55,1,Flecainide 50mg tablets,0203020I0AAAKAK,3.65E+16,AF
prescriptions,flecainide,both_sexes,,,,,flecainide,anti-arrhythmic,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-flecainide-both_sexes.tsv.bgz.tbi,982,399,494,EUR,1,,,,,860,,,,,,419671,,,,,,0.14622,,,,,,1.0167,,prescriptions-flecainide-both_sexes.tsv.bgz,prescriptions-flecainide-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-flecainide-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-flecainide-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-flecainide-both_sexes.tsv.bgz.tbi,535798366,1751701,f47d748ec29399df80384c0cb9603077,d7fa923949a35347a2d022655d566a3b,PR_flecainide_h0.14622_n982,,0,PR_flecainide_h0.14622,1.02,h2_z_insignificant,,0.0025,I48,Flecainide 50mg tablets,55,1,Flecainide 50mg tablets,0203020I0AAAKAK,3.65E+16,AF
prescriptions,anti-coagulant|factor X inhibitor,both_sexes,,,,,anti-coagulant|factor X inhibitor,,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-anti-coagulant|factor_X_inhibitor-both_sexes.tsv.bgz.tbi,1420,486,801,EUR,1,,,,,1243,,,,,,419288,,,,,,0.093309,,,,,,1.0223,,prescriptions-anti-coagulant|factor_X_inhibitor-both_sexes.tsv.bgz,prescriptions-anti-coagulant|factor_X_inhibitor-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-anti-coagulant|factor_X_inhibitor-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-anti-coagulant|factor_X_inhibitor-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-anti-coagulant|factor_X_inhibitor-both_sexes.tsv.bgz.tbi,539229989,1751538,fc6e01d991d4592205d49eae135df038,839014d51a3e0964ff97f472dcd3f7ff,PR_anti-coagulant_factor_X_inhibitor_h0.09331_n1420,D68.4,0,PR_anti_coagulant_factor_X_inhibitor_h0.09331,1.02,h2_z_insignificant,,-2.51E-05,I48,Mentor constrictor ring medium (Vetco UK),43,1,Mentor constrictor ring medium (Vetco UK),21180000070,5.98E+15,AF
prescriptions,anti-arrhythmic,both_sexes,,,,,anti-arrhythmic,,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-anti-arrhythmic-both_sexes.tsv.bgz.tbi,2231,650,1379,EUR,1,,,,,1945,,,,,,418586,,,,,,0.0792,,,,,,1.0278,,prescriptions-anti-arrhythmic-both_sexes.tsv.bgz,prescriptions-anti-arrhythmic-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-anti-arrhythmic-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-anti-arrhythmic-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-anti-arrhythmic-both_sexes.tsv.bgz.tbi,542238737,1751859,67641bfa1e266fd35211b6c3382ee833,5df266e820f3864fb126c23514299e42,PR_anti-arrhythmic_h0.07920_n2231,I49.9,0,PR_anti_arrhythmic_h0.07920,1.02,h2_z_insignificant,,0.0045,I48,Myrrh tincture,41,1,Myrrh tincture,190606000AAANAN,5.19E+15,AF
prescriptions,rivaroxaban,both_sexes,,,,,rivaroxaban,"anti-coagulant,factor X inhibitor",https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-rivaroxaban-both_sexes.tsv.bgz.tbi,1420,486,801,EUR,1,,,,,1243,,,,,,419288,,,,,,0.093245,,,,,,1.0332,,prescriptions-rivaroxaban-both_sexes.tsv.bgz,prescriptions-rivaroxaban-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-rivaroxaban-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-rivaroxaban-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-rivaroxaban-both_sexes.tsv.bgz.tbi,539228109,1751495,56890127cb88e780926908f7cebe7cbb,244eec01e262d0759db5a199594c1dd7,PR_rivaroxaban_h0.09325_n1420,,0,PR_rivaroxaban_h0.09325,1.02,h2_z_insignificant,,-2.50E-05,I48,Rivaroxaban 10mg tablets,57,1,Rivaroxaban 10mg tablets,0208020Y0AAAAAA,1.42E+16,AF
categorical,20003,both_sexes,1140910832,,Treatment/medication code,Code for treatment Negative codes indicate free-text entry.,sodium warfarin,UK Biobank Assessment Centre > Verbal interview > Medications,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140910832.tsv.bgz.tbi,390,123,267,EUR,1,,,,,346,,,,,,420127,,,,,,0.20132,,,,,,1.0125,,categorical-20003-both_sexes-1140910832.tsv.bgz,categorical-20003-both_sexes-1140910832.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140910832.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140910832.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140910832.tsv.bgz.tbi,525007204,1751384,475cba446dace7b085fdfa7724f3ee85,f2038fb28188beaa174e9d43a6e3c72a,CA_Medications_h0.20132_n390,Q86.2,0,CA_PR_sodium_warfarin_h0.20132,1.01,h2_z_insignificant,,-0.0005,I48,Sodium hyaluronate lotion,55,1,Sodium hyaluronate lotion,,3.76E+16,AF
