trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,aws_link_tabix,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR.x,lambda_gc_MID,filename,filename_tabix,aws_link,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,ICD10_code,to_remove,new_pheno_annot,lambda_gc_EUR.y,phenotype_qc_EUR,pops_pass_qc,sldsc_25bin_h2_observed_EUR,ICD10_code_new,similar_phenocode,score,to_remove_dups
categorical,41200,both_sexes,C101,,Operative procedures - main OPCS4,"This field is a summary of the main operation and procedure codes a participant has had recorded across all their hospital inpatient records. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  The corresponding date when each main procedure was first recorded in the inpatient data can be found in ~F41260~.",C10.1 Excision of lesion of eyebrow,Health-related outcomes > Hospital inpatient > Summary Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C101.tsv.bgz.tbi,558,319,239,EUR,1,,,,,511,,,,,,420020,,,,,,0.05773,,,,,,1.0166,,categorical-41200-both_sexes-C101.tsv.bgz,categorical-41200-both_sexes-C101.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C101.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C101.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C101.tsv.bgz.tbi,530549813,1751250,766bd78d926ed9432320af8ae04cc04d,302843f4a14c74179ffe77367de453b1,CA_Summary_Operations_h0.05773_n558,S43.43,0,CA_Excision_of_lesion_of_eyebrow_h0.05773,0.993,h2_z_insignificant,,-0.0003,not_found,E09.1 Excision of lesion of external nose,79,0
categorical,41200,both_sexes,C132,,Operative procedures - main OPCS4,"This field is a summary of the main operation and procedure codes a participant has had recorded across all their hospital inpatient records. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  The corresponding date when each main procedure was first recorded in the inpatient data can be found in ~F41260~.",C13.2 Blepharoplasty of upper eyelid,Health-related outcomes > Hospital inpatient > Summary Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C132.tsv.bgz.tbi,940,652,288,EUR,1,,,,,848,,,,,,419683,,,,,,0.22657,,,,,,1.0458,,categorical-41200-both_sexes-C132.tsv.bgz,categorical-41200-both_sexes-C132.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C132.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C132.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C132.tsv.bgz.tbi,535484345,1751301,676489af468b75c4713410427f4b7db9,f759e919dc2df9856cc0475d6bf6e0e8,CA_Summary_Operations_h0.22657_n940,H02.34,0,CA_Blepharoplasty_of_upper_eyelid_h0.22657,1.04,h2_z_insignificant,,0.0016,not_found,C22.2 Biopsy of lesion of eyelid,62,0
categorical,41200,both_sexes,C151,,Operative procedures - main OPCS4,"This field is a summary of the main operation and procedure codes a participant has had recorded across all their hospital inpatient records. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  The corresponding date when each main procedure was first recorded in the inpatient data can be found in ~F41260~.",C15.1 Correction of ectropion NEC,Health-related outcomes > Hospital inpatient > Summary Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C151.tsv.bgz.tbi,492,169,323,EUR,1,,,,,447,,,,,,420084,,,,,,0.14994,,,,,,1.0251,,categorical-41200-both_sexes-C151.tsv.bgz,categorical-41200-both_sexes-C151.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C151.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C151.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C151.tsv.bgz.tbi,528771985,1751334,de53b1255fab086aa32fe5bf1317e74a,380b76a4d4d20cdba759f9e246529948,CA_Summary_Operations_h0.14994_n492,H02.119,0,CA_Correction_of_ectropion_NEC_h0.14994,0.993,h2_z_insignificant,,0.0009,not_found,B08.4 Lobectomy of thyroid gland NEC,58,0
categorical,41200,both_sexes,C186,,Operative procedures - main OPCS4,"This field is a summary of the main operation and procedure codes a participant has had recorded across all their hospital inpatient records. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  The corresponding date when each main procedure was first recorded in the inpatient data can be found in ~F41260~.",C18.6 Correction of ptosis of eyelid using aponeurosis technique,Health-related outcomes > Hospital inpatient > Summary Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C186.tsv.bgz.tbi,378,245,133,EUR,1,,,,,314,,,,,,420217,,,,,,0.2245,,,,,,1.0092,,categorical-41200-both_sexes-C186.tsv.bgz,categorical-41200-both_sexes-C186.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C186.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C186.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C186.tsv.bgz.tbi,524678758,1751003,9083f2e371673a7689607ad108f3041f,2baafc0a730bbe6bc410b545890635b5,CA_Summary_Operations_h0.22450_n378,,0,CA_Correction_of_ptosis_of_eyelid_using_aponeurosis_technique_h0.22450,0.987,h2_z_insignificant,,0.0034,not_found,H33.3 Anterior resection of rectum and anastomosis of colon to rectum using staples,49,0
categorical,41200,both_sexes,C222,,Operative procedures - main OPCS4,"This field is a summary of the main operation and procedure codes a participant has had recorded across all their hospital inpatient records. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  The corresponding date when each main procedure was first recorded in the inpatient data can be found in ~F41260~.",C22.2 Biopsy of lesion of eyelid,Health-related outcomes > Hospital inpatient > Summary Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C222.tsv.bgz.tbi,613,376,237,EUR,1,,,,,560,,,,,,419971,,,,,,0.17586,,,,,,1.0239,,categorical-41200-both_sexes-C222.tsv.bgz,categorical-41200-both_sexes-C222.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C222.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C222.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C222.tsv.bgz.tbi,531255441,1751539,b169362223b5fc4272f614872aa47ce0,815a5cfdcc24f82a43f4b0d8eabdbc4d,CA_Summary_Operations_h0.17586_n613,H02.9,0,CA_Biopsy_of_lesion_of_eyelid_h0.17586,1,h2_z_insignificant,,0.0042,not_found,F20.3 Biopsy of lesion of gingiva,74,0
categorical,41200,both_sexes,C226,,Operative procedures - main OPCS4,"This field is a summary of the main operation and procedure codes a participant has had recorded across all their hospital inpatient records. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  The corresponding date when each main procedure was first recorded in the inpatient data can be found in ~F41260~.",C22.6 Epilation of eyelash,Health-related outcomes > Hospital inpatient > Summary Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C226.tsv.bgz.tbi,268,157,111,EUR,1,,,,,242,,,,,,420289,,,,,,0.13959,,,,,,0.99273,,categorical-41200-both_sexes-C226.tsv.bgz,categorical-41200-both_sexes-C226.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C226.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C226.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C226.tsv.bgz.tbi,520350848,1750885,34773b62a8d04069d377431a80b4ae0c,5440112adbd231fe9ddbe477fd90ac7c,CA_Summary_Operations_h0.13959_n268,,0,CA_Epilation_of_eyelash_h0.13959,0.979,h2_z_insignificant,,0.0052,not_found,C22.2 Biopsy of lesion of eyelid,62,0
categorical,41200,both_sexes,C253,,Operative procedures - main OPCS4,"This field is a summary of the main operation and procedure codes a participant has had recorded across all their hospital inpatient records. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  The corresponding date when each main procedure was first recorded in the inpatient data can be found in ~F41260~.",C25.3 Dacryocystorhinostomy and insertion of tube HFQ,Health-related outcomes > Hospital inpatient > Summary Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C253.tsv.bgz.tbi,763,505,258,EUR,1,,,,,654,,,,,,419877,,,,,,0.17975,,,,,,1.0236,,categorical-41200-both_sexes-C253.tsv.bgz,categorical-41200-both_sexes-C253.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C253.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C253.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C253.tsv.bgz.tbi,533028329,1751730,70046fba23ad48d61d38863599b684d3,a24235f2cfab824a0da5792f0e6bb9eb,CA_Summary_Operations_h0.17975_n763,N80.2,0,CA_Dacryocystorhinostomy_and_insertion_of_tube_HFQ_h0.17975,1.04,h2_z_insignificant,,-0.0013,not_found,M38.2 Cystostomy and insertion of suprapubic tube into bladder,57,0
categorical,41200,both_sexes,C292,,Operative procedures - main OPCS4,"This field is a summary of the main operation and procedure codes a participant has had recorded across all their hospital inpatient records. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  The corresponding date when each main procedure was first recorded in the inpatient data can be found in ~F41260~.",C29.2 Enlargement of lacrimal punctum,Health-related outcomes > Hospital inpatient > Summary Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C292.tsv.bgz.tbi,855,586,269,EUR,1,,,,,746,,,,,,419785,,,,,,0.24656,,,,,,1.0002,,categorical-41200-both_sexes-C292.tsv.bgz,categorical-41200-both_sexes-C292.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C292.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C292.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C292.tsv.bgz.tbi,534521197,1751503,8709c00e1c58ea3e94fce535ed2fa8d1,3e9f84b70bd0cd251a54d67bd27a4226,CA_Summary_Operations_h0.24656_n855,H04.529,0,CA_Enlargement_of_lacrimal_punctum_h0.24656,1,h2_z_insignificant,,0.0001,not_found,T12.2 Drainage of pleural cavity NEC,52,0
categorical,41200,both_sexes,C601,,Operative procedures - main OPCS4,"This field is a summary of the main operation and procedure codes a participant has had recorded across all their hospital inpatient records. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  The corresponding date when each main procedure was first recorded in the inpatient data can be found in ~F41260~.",C60.1 Trabeculectomy,Health-related outcomes > Hospital inpatient > Summary Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C601.tsv.bgz.tbi,1088,521,567,EUR,1,,,,,910,,,,,,419621,,,,,,0.20019,,,,,,1.0297,,categorical-41200-both_sexes-C601.tsv.bgz,categorical-41200-both_sexes-C601.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C601.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C601.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C601.tsv.bgz.tbi,536347169,1751879,09e411670942cc6d170c64451546d9dc,cb3b467fef5d2fa97e64914c890c51dc,CA_Summary_Operations_h0.20019_n1088,C60.1,0,CA_Trabeculectomy_h0.20019,0.998,h2_z_insignificant,,0.003,not_found,D17.1 Stapedectomy,58,0
categorical,41200,both_sexes,C712,,Operative procedures - main OPCS4,"This field is a summary of the main operation and procedure codes a participant has had recorded across all their hospital inpatient records. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  The corresponding date when each main procedure was first recorded in the inpatient data can be found in ~F41260~.",C71.2 Phacoemulsification of lens,Health-related outcomes > Hospital inpatient > Summary Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C712.tsv.bgz.tbi,812,475,337,EUR,1,,,,,696,,,,,,419835,,,,,,0.20346,,,,,,1.0117,,categorical-41200-both_sexes-C712.tsv.bgz,categorical-41200-both_sexes-C712.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C712.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C712.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C712.tsv.bgz.tbi,533621177,1751773,c8014b084b5e2490f97e4b477884c3a4,c58dd084b96949471b059fe49de8a844,CA_Summary_Operations_h0.20346_n812,Z96.1,0,CA_Phacoemulsification_of_lens_h0.20346,1,h2_z_insignificant,,-0.0005,not_found,C22.6 Epilation of eyelash,51,0
categorical,41200,both_sexes,C791,,Operative procedures - main OPCS4,"This field is a summary of the main operation and procedure codes a participant has had recorded across all their hospital inpatient records. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  The corresponding date when each main procedure was first recorded in the inpatient data can be found in ~F41260~.",C79.1 Vitrectomy using anterior approach,Health-related outcomes > Hospital inpatient > Summary Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C791.tsv.bgz.tbi,297,130,167,EUR,1,,,,,239,,,,,,420292,,,,,,0.21719,,,,,,0.99917,,categorical-41200-both_sexes-C791.tsv.bgz,categorical-41200-both_sexes-C791.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C791.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C791.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C791.tsv.bgz.tbi,521016946,1750589,c1f6df21ddccf61d275c3400e578ec37,e7201f6d824690474dd9c71fb1366a9e,CA_Summary_Operations_h0.21719_n297,H15.019,0,CA_Vitrectomy_using_anterior_approach_h0.21719,1.01,h2_z_insignificant,,0.0015,not_found,C79.2 Vitrectomy using pars plana approach,80,0
categorical,41200,both_sexes,C792,,Operative procedures - main OPCS4,"This field is a summary of the main operation and procedure codes a participant has had recorded across all their hospital inpatient records. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  The corresponding date when each main procedure was first recorded in the inpatient data can be found in ~F41260~.",C79.2 Vitrectomy using pars plana approach,Health-related outcomes > Hospital inpatient > Summary Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C792.tsv.bgz.tbi,4003,1904,2099,"AFR,CSA,EUR",3,50,,77,,3532,,6586,,8799,,416999,,0,,0.0157,,0.11468,,1.0052,,1.0129,,1.0808,,categorical-41200-both_sexes-C792.tsv.bgz,categorical-41200-both_sexes-C792.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C792.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C792.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C792.tsv.bgz.tbi,1570761002,2046637,53922c5962e6348f52634799e43e3f5d,b771103236882d0a1c9ecb6932e026e1,CA_Vitrectomy_using_pars_plana_approach_h0.11468_n4003,H21.349,0,CA_Vitrectomy_using_pars_plana_approach_h0.11468,1.05,h2_z_insignificant,,0.0042,not_found,C79.1 Vitrectomy using anterior approach,80,0
categorical,41200,both_sexes,C794,,Operative procedures - main OPCS4,"This field is a summary of the main operation and procedure codes a participant has had recorded across all their hospital inpatient records. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  The corresponding date when each main procedure was first recorded in the inpatient data can be found in ~F41260~.",C79.4 Injection into vitreous body NEC,Health-related outcomes > Hospital inpatient > Summary Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C794.tsv.bgz.tbi,844,395,449,EUR,1,,,,,719,,,,,,419812,,,,,,0.20858,,,,,,0.98257,,categorical-41200-both_sexes-C794.tsv.bgz,categorical-41200-both_sexes-C794.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C794.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C794.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C794.tsv.bgz.tbi,533524262,1751049,273318b6f5c075c365870b5028554183,3c66dcd9828117547216c88f71d3054b,CA_Summary_Operations_h0.20858_n844,H43.9,0,CA_Injection_into_vitreous_body_NEC_h0.20858,1,h2_z_insignificant,,-0.0001,not_found,T62.5 Injection into bursa,59,0
categorical,41200,both_sexes,C821,,Operative procedures - main OPCS4,"This field is a summary of the main operation and procedure codes a participant has had recorded across all their hospital inpatient records. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  The corresponding date when each main procedure was first recorded in the inpatient data can be found in ~F41260~.",C82.1 Cauterisation of lesion of retina,Health-related outcomes > Hospital inpatient > Summary Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C821.tsv.bgz.tbi,615,244,371,EUR,1,,,,,527,,,,,,420004,,,,,,0.13918,,,,,,0.99812,,categorical-41200-both_sexes-C821.tsv.bgz,categorical-41200-both_sexes-C821.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C821.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C821.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C821.tsv.bgz.tbi,530996465,1751334,bbc8af4976320efcfc638c2ebcd68860,61bf617f39ddf55122f91c8a593d356d,CA_Summary_Operations_h0.13918_n615,D31.20,0,CA_Cauterisation_of_lesion_of_retina_h0.13918,1.01,h2_z_insignificant,,0.0042,not_found,C82.2 Cryotherapy to lesion of retina,76,0
categorical,41200,both_sexes,C822,,Operative procedures - main OPCS4,"This field is a summary of the main operation and procedure codes a participant has had recorded across all their hospital inpatient records. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  The corresponding date when each main procedure was first recorded in the inpatient data can be found in ~F41260~.",C82.2 Cryotherapy to lesion of retina,Health-related outcomes > Hospital inpatient > Summary Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C822.tsv.bgz.tbi,378,155,223,EUR,1,,,,,336,,,,,,420195,,,,,,0.14186,,,,,,1.0024,,categorical-41200-both_sexes-C822.tsv.bgz,categorical-41200-both_sexes-C822.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C822.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C822.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C822.tsv.bgz.tbi,525286224,1751344,6bcb1570d4cb5053fa1e13a3f353aa55,0a11492af07895f0cc175eb79ca84b2f,CA_Summary_Operations_h0.14186_n378,D31.20,0,CA_Cryotherapy_to_lesion_of_retina_h0.14186,0.996,h2_z_insignificant,,-0.0008,not_found,C82.1 Cauterisation of lesion of retina,76,0
categorical,41200,both_sexes,C865,,Operative procedures - main OPCS4,"This field is a summary of the main operation and procedure codes a participant has had recorded across all their hospital inpatient records. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  The corresponding date when each main procedure was first recorded in the inpatient data can be found in ~F41260~.",C86.5 Fluorescein angiography of eye,Health-related outcomes > Hospital inpatient > Summary Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C865.tsv.bgz.tbi,477,236,241,EUR,1,,,,,422,,,,,,420109,,,,,,0.082326,,,,,,0.98052,,categorical-41200-both_sexes-C865.tsv.bgz,categorical-41200-both_sexes-C865.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C865.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-C865.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-C865.tsv.bgz.tbi,528095633,1751289,21185cf88bbd07144fe85b3a6c307296,a7e279476b35a4cfd8bdd8b61d5cd9d7,CA_Summary_Operations_h0.08233_n477,B69.1,0,CA_Fluorescein_angiography_of_eye_h0.08233,1,h2_z_insignificant,,-0.0001,not_found,U20.5 Stress echocardiography,49,0
categorical,41200,both_sexes,D021,,Operative procedures - main OPCS4,"This field is a summary of the main operation and procedure codes a participant has had recorded across all their hospital inpatient records. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  The corresponding date when each main procedure was first recorded in the inpatient data can be found in ~F41260~.",D02.1 Excision of lesion of external ear,Health-related outcomes > Hospital inpatient > Summary Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-D021.tsv.bgz.tbi,2223,591,1632,EUR,1,,,,,2042,,,,,,418489,,,,,,0.088639,,,,,,1.0516,,categorical-41200-both_sexes-D021.tsv.bgz,categorical-41200-both_sexes-D021.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-D021.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-D021.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-D021.tsv.bgz.tbi,542409309,1752172,fb74f7a3887aa4b2ea96a2ad8e5f03c0,ee9c3ab35ecffc643996ad5357ee7058,CA_Summary_Operations_h0.08864_n2223,H61.899,0,CA_Excision_of_lesion_of_external_ear_h0.08864,1.03,h2_z_insignificant,,-0.0011,not_found,E09.1 Excision of lesion of external nose,89,0
categorical,41200,both_sexes,D171,,Operative procedures - main OPCS4,"This field is a summary of the main operation and procedure codes a participant has had recorded across all their hospital inpatient records. Operative procedures are coded according to the Office of Population Censuses and Surveys Classification of Interventions and Procedures, version 4 (OPCS-4).  The corresponding date when each main procedure was first recorded in the inpatient data can be found in ~F41260~.",D17.1 Stapedectomy,Health-related outcomes > Hospital inpatient > Summary Operations,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-D171.tsv.bgz.tbi,315,197,118,EUR,1,,,,,264,,,,,,420267,,,,,,0.07352,,,,,,0.9773,,categorical-41200-both_sexes-D171.tsv.bgz,categorical-41200-both_sexes-D171.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-D171.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-D171.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41200-both_sexes-D171.tsv.bgz.tbi,521890713,1750813,4512800c88756fb4b9e26f9d632ee764,a8423335e17ca2a3ad647df741a94453,CA_Summary_Operations_h0.07352_n315,D17.1,0,CA_Stapedectomy_h0.07352,1.01,h2_z_insignificant,,0.0034,not_found,C60.1 Trabeculectomy,58,0
