trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,aws_link_tabix,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR.x,lambda_gc_MID,filename,filename_tabix,aws_link,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,ICD10_code,to_remove,new_pheno_annot,lambda_gc_EUR.y,phenotype_qc_EUR,pops_pass_qc,sldsc_25bin_h2_observed_EUR,ICD10_code_new,to_remove_dups,similar_phenocode,score
icd10,A49,both_sexes,,,A49 Bacterial infection of unspecified site,truncated: true,A49 Bacterial infection of unspecified site,Chapter I Certain infectious and parasitic diseases | A30-A49 Other bacterial diseases | A49 Bacterial infection of unspecified site,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A49-both_sexes.tsv.bgz.tbi,1107,441,585,EUR,1,,,,,966,,,,,,419565,,,,,,0.11473,,,,,,1.0035,,icd10-A49-both_sexes.tsv.bgz,icd10-A49-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A49-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A49-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A49-both_sexes.tsv.bgz.tbi,536671387,1751923,e3b2f76dd860082bc049be2cca15a8a4,afcf4b1e309018aa4266fc9847030542,IC_Bacterial_infection_of_unspecified_site_h0.11473_n1107,A49,0,IC_Bacterial_infection_of_unspecified_site_h0.11473,0.996,h2_z_insignificant,,0.0035,A49,0,J06 Acute upper respiratory infections of multiple and unspecified sites,64
phecode,41.1,both_sexes,,,Staphylococcus infections,,Staphylococcus infections,infectious diseases,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-041.1-both_sexes.tsv.bgz.tbi,4389,1695,2350,"AFR,CSA,EUR",3,58,,77,,3852,,6279,,8295,,401597,,0.11588,,0.13379,,0.10007,,1.0014,,1.0057,,1.0696,,phecode-041.1-both_sexes.tsv.bgz,phecode-041.1-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-041.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-041.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-041.1-both_sexes.tsv.bgz.tbi,1580915541,2048406,59ffa37d21c26f7038fb3ac9c023574a,5405b18630486cd200b02701a81783fc,PH_Staphylococcus_infections_h0.10007_n4389,A49.01,0,PH_Staphylococcus_infections_h0.10007,1.03,h2_z_insignificant,,0.0008,A49.0-B95.6-B95.7-B95.8-M00.0,0,Viral infection,60
icd10,B00,both_sexes,,,B00 Herpesviral [herpes simplex] infections,truncated: true,B00 Herpesviral [herpes simplex] infections,Chapter I Certain infectious and parasitic diseases | B00-B09 Viral infections characterized by skin and mucous membrane lesions | B00 Herpesviral [herpes simplex] infections,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-B00-both_sexes.tsv.bgz.tbi,399,197,173,EUR,1,,,,,355,,,,,,420176,,,,,,0.13719,,,,,,0.99946,,icd10-B00-both_sexes.tsv.bgz,icd10-B00-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B00-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B00-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-B00-both_sexes.tsv.bgz.tbi,525669989,1751106,a48ca4264e9d0430c98b6d2c490fb2da,3a84a69fe052c093a4bccf04ac6b5d15,IC_Herpesviral_[herpes_simplex]_infections_h0.13719_n399,B00,0,IC_Herpesviral_herpes_simplex_infections_h0.13719,0.984,h2_z_insignificant,,0.0032,B00,0,A04 Other bacterial intestinal infections,57
phecode,53,both_sexes,,,Herpes zoster,,Herpes zoster,infectious diseases,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-053-both_sexes.tsv.bgz.tbi,738,354,338,EUR,1,,,,,655,,,,,,413496,,,,,,0.10593,,,,,,1.0281,,phecode-053-both_sexes.tsv.bgz,phecode-053-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-053-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-053-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-053-both_sexes.tsv.bgz.tbi,533419594,1751559,9970ef1b6b7ce8d874c02d0c58d01b34,33f4f23d1c4d3aa5c6aa31a462a6cabb,PH_Herpes_zoster_h0.10593_n738,B02.39,0,PH_Herpes_zoster_h0.10593,1.01,h2_z_insignificant,,0.0049,B02,1,B02 Zoster [herpes zoster],62
icd10,B02,both_sexes,,,B02 Zoster [herpes zoster],truncated: true,B02 Zoster [herpes zoster],Chapter I Certain infectious and parasitic diseases | B00-B09 Viral infections characterized by skin and mucous membrane lesions | B02 Zoster [herpes zoster],https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-B02-both_sexes.tsv.bgz.tbi,729,349,336,EUR,1,,,,,648,,,,,,419883,,,,,,0.12765,,,,,,1.0221,,icd10-B02-both_sexes.tsv.bgz,icd10-B02-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B02-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B02-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-B02-both_sexes.tsv.bgz.tbi,533501391,1751475,4a01feaca7cf0e4a8b27df2f187c4ff8,1727d3bd6c80f5847fd52567fb2ccdf9,IC_Zoster_[herpes_zoster]_h0.12765_n729,B02,0,IC_Zoster_herpes_zoster_h0.12765,1.01,h2_z_insignificant,,0.0051,B02,0,Herpes zoster,62
categorical,20002,both_sexes,1568,,"Non-cancer illness code, self-reported","Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.",measles / morbillivirus,UK Biobank Assessment Centre > Verbal interview > Medical conditions,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1568.tsv.bgz.tbi,1564,874,690,EUR,1,,,,,1412,,,,,,419061,,,,,,0.083582,,,,,,1.0307,,categorical-20002-both_sexes-1568.tsv.bgz,categorical-20002-both_sexes-1568.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1568.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1568.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1568.tsv.bgz.tbi,540056375,1751922,3c2ef748695507f696757e1e973c088a,f44501b579694f97fc46b2fa13bf28f5,CA_Medical_conditions_h0.08358_n1564,B05.9,0,CA_measles_morbillivirus_h0.08358,1.03,h2_z_insignificant,,-0.0018,B05,0,Diseases of lips,51
phecode,381.1,both_sexes,,,Otitis media,,Otitis media,sense organs,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-381.1-both_sexes.tsv.bgz.tbi,2289,1080,1056,"CSA,EUR",2,,,57,,2014,,,,8741,,416007,,,,0.24268,,0.14143,,,,1.005,,1.0251,,phecode-381.1-both_sexes.tsv.bgz,phecode-381.1-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-381.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-381.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-381.1-both_sexes.tsv.bgz.tbi,1087156105,1928044,3f9842b2bf4ad96cb5be65934a9f7406,f6d98b2948537b017c13a27c9448bc19,PH_Otitis_media_h0.14143_n2289,B05.3,0,PH_Otitis_media_h0.14143,1.02,h2_z_insignificant,,0.0058,B05.3-H65-H65.0-H65.1-H65.2-H65.3-H65.4-H65.9-H67.1-H67.8,0,H65 Nonsuppurative otitis media,51
categorical,20002,both_sexes,1570,,"Non-cancer illness code, self-reported","Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.",rubella / german measles,UK Biobank Assessment Centre > Verbal interview > Medical conditions,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1570.tsv.bgz.tbi,561,357,204,EUR,1,,,,,500,,,,,,419973,,,,,,0.20903,,,,,,0.99166,,categorical-20002-both_sexes-1570.tsv.bgz,categorical-20002-both_sexes-1570.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1570.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1570.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20002-both_sexes-1570.tsv.bgz.tbi,529464099,1751221,f3f7b915b6b71840a892c7c4868da331,45b7d1215e1170848fbb9d200c8d9532,CA_Medical_conditions_h0.20903_n561,B06,0,CA_rubella_german_measles_h0.20903,1,h2_z_insignificant,,0.0009,B06,0,fracture lower leg / ankle,48
phecode,112,both_sexes,,,Candidiasis,,Candidiasis,infectious diseases,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-112-both_sexes.tsv.bgz.tbi,3507,1843,1410,"AFR,CSA,EUR",3,60,,63,,3072,,6561,,8799,,416798,,0.14889,,0.0747,,0.088566,,1.0219,,1.0019,,1.0478,,phecode-112-both_sexes.tsv.bgz,phecode-112-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-112-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-112-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-112-both_sexes.tsv.bgz.tbi,1572960529,2047009,fc1d4b492a26c80c625f86420cabf0a3,6653b7822c93193b47d399782fb03399,PH_Candidiasis_h0.08857_n3507,B37,0,PH_Candidiasis_h0.08857,1.03,h2_z_insignificant,,0.0008,B20.4-B37-B37.0-B37.3-B37.4-B37.7-B37.8-B37.9,0,B37 Candidiasis,85
phecode,110.1,both_sexes,,,Dermatophytosis,,Dermatophytosis,infectious diseases,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-110.1-both_sexes.tsv.bgz.tbi,421,135,254,EUR,1,,,,,362,,,,,,416798,,,,,,0.12431,,,,,,1.0098,,phecode-110.1-both_sexes.tsv.bgz,phecode-110.1-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-110.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-110.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-110.1-both_sexes.tsv.bgz.tbi,526090914,1751235,7d36aa6cd3061963bca9812e9371937b,ac47113cf95aebab3321146128e611bb,PH_Dermatophytosis_h0.12431_n421,B35.9,0,PH_Dermatophytosis_h0.12431,1,h2_z_insignificant,,-0.0011,B35,1,B35 Dermatophytosis,88
