trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,pops,num_pops,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,saige_heritability_AFR,saige_heritability_AMR,saige_heritability_CSA,saige_heritability_EAS,saige_heritability_EUR,saige_heritability_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR,lambda_gc_MID,filename,filename_tabix,aws_link,aws_link_tabix,wget,wget_tabix,size_in_bytes,size_in_bytes_tabix,md5_hex,md5_hex_tabix,phenocode_annotate_lst,ICD10_code,to_remove,new_pheno_annot
categorical,41248,both_sexes,7003,,Destinations on discharge from hospital (recoded),"This field is a summary of the distinct destination on discharge codes a participant has had recorded in their hospital inpatient records. Destination on discharge identifies whether a patient was due to return to their usual place of residence on leaving hospital, or whether they were due to go elsewhere.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field DISDEST_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.","Nursing, residential care, group home: Non-NHS",Health-related outcomes > Hospital inpatient > Summary Administration,896,408,488,EUR,1,,,,,807,,,,,,411341,,,,,,0.066299,,,,,,1.0082,,categorical-41248-both_sexes-7003.tsv.bgz,categorical-41248-both_sexes-7003.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-7003.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-7003.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-7003.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-7003.tsv.bgz.tbi,535567652,1751690,dffdeb08a94cb581671a0d57e70e9e96,989c128c67b2008e14162fe8eaa3a8f0,CA_Summary_Administration_h0.06630_n896,,1,CA_Administration_h0.06630
phecode,274.11,both_sexes,,,Gouty arthropathy,,,endocrine/metabolic,181,18,154,EUR,1,,,,,164,,,,,,415559,,,,,,0.067891,,,,,,0.99201,,phecode-274.11-both_sexes.tsv.bgz,phecode-274.11-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-274.11-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-274.11-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-274.11-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-274.11-both_sexes.tsv.bgz.tbi,513447680,1750941,4e6c70d66976ec7e922e96d0a90aeebc,d4e1113ea56476dc0da4686e9a08f3d2,PH_Gouty_arthropathy_h0.06789_n181,,0,PH_Gouty_arthropathy_h0.06789
categorical,41249,both_sexes,2003,,Methods of admission to hospital (recoded),"This field is a summary of the distinct method of admission codes a participant has had recorded in their hospital inpatient records. Method of admission to hospital identifies how a patient was admitted, e.g. an elective admission from a waiting list or an emergency admission, etc.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field ADMIMETH_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Emergency admission: Bed bureau,Health-related outcomes > Hospital inpatient > Summary Administration,10776,5668,5108,"AFR,CSA,EUR",3,85,,160,,9698,,6523,,8697,,410147,,0,,0.13689,,0.069099,,0.99365,,1.0253,,1.0607,,categorical-41249-both_sexes-2003.tsv.bgz,categorical-41249-both_sexes-2003.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41249-both_sexes-2003.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41249-both_sexes-2003.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41249-both_sexes-2003.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41249-both_sexes-2003.tsv.bgz.tbi,1629884143,2056437,7f928c0b46bdc1e560a713f6c1f69c5d,4298718fc6df9c0d0245bc7243e7025e,CA__Summary_Administration_h0.06910_n10776,,1,CA_Administration_h0.06910
categorical,12223,both_sexes,6,,Abdominal MRI measuring method,.,Not performed - equipment failure,UK Biobank Assessment Centre > Imaging > Abdominal MRI,331,169,162,EUR,1,,,,,305,,,,,,36532,,,,,,0.070842,,,,,,1.0113,,categorical-12223-both_sexes-6.tsv.bgz,categorical-12223-both_sexes-6.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-12223-both_sexes-6.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-12223-both_sexes-6.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-12223-both_sexes-6.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-12223-both_sexes-6.tsv.bgz.tbi,514893847,1749744,e14d7ec03d68b03d99346ae913b108d7,91ddc05099648f91323aa138e6204c5c,CA_Abdominal_MRI_h0.07084_n331,,0,CA_Abdominal_MRI_h0.07084
categorical,41229,both_sexes,5C3,,PCT responsible for patient data,"This field is a summary of the distinct ""Current PCT responsible for patient"" codes a participant has had recorded in their hospital inpatient records. The PCT code identifies the administrative body with whom the patient is registered.  This field corresponds to the field PCTCODE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",CITY AND HACKNEY TEACHING PCT,Health-related outcomes > Hospital inpatient > Summary Administration,1541,870,671,"AFR,EUR",2,198,,,,941,,6438,,,,419590,,0.077721,,,,0.07678,,1.0264,,,,1.0075,,categorical-41229-both_sexes-5C3.tsv.bgz,categorical-41229-both_sexes-5C3.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5C3.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5C3.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5C3.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5C3.tsv.bgz.tbi,1281542633,1967831,21a8ba8fb0bfc6e4892594a9798f11ef,e29f443bce5fc60a9824363b6f6a059f,CA__Summary_Administration_h0.07678_n1541,,1,CA_Administration_h0.07678
phecode,797.1,both_sexes,,,Cardiogenic shock,,,symptoms,157,40,102,EUR,1,,,,,133,,,,,,420328,,,,,,0.079505,,,,,,0.98321,,phecode-797.1-both_sexes.tsv.bgz,phecode-797.1-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-797.1-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-797.1-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-797.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-797.1-both_sexes.tsv.bgz.tbi,510724035,1750431,dd738c1dd17e2312f9281a975f1df5a0,44256d721df7e0fc5e73b17f7d2b3c17,PH_Cardiogenic_shock_h0.07951_n157,,0,PH_Cardiogenic_shock_h0.07951
categorical,41229,both_sexes,5P5,,PCT responsible for patient data,"This field is a summary of the distinct ""Current PCT responsible for patient"" codes a participant has had recorded in their hospital inpatient records. The PCT code identifies the administrative body with whom the patient is registered.  This field corresponds to the field PCTCODE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",SURREY PCT,Health-related outcomes > Hospital inpatient > Summary Administration,5283,2877,2406,"CSA,EUR",2,,,132,,4495,,,,8744,,416036,,,,0.27735,,0.082572,,,,1.0001,,1.0427,,categorical-41229-both_sexes-5P5.tsv.bgz,categorical-41229-both_sexes-5P5.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5P5.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5P5.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5P5.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5P5.tsv.bgz.tbi,1131389207,1935663,7a5326a66ff63d4a617a27044ef472fa,e2234a0c120da31c22f8695e7377514c,CA__Summary_Administration_h0.08257_n5283,,1,CA_Administration_h0.08257
categorical,41229,both_sexes,5QG,,PCT responsible for patient data,"This field is a summary of the distinct ""Current PCT responsible for patient"" codes a participant has had recorded in their hospital inpatient records. The PCT code identifies the administrative body with whom the patient is registered.  This field corresponds to the field PCTCODE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",BERKSHIRE EAST PCT,Health-related outcomes > Hospital inpatient > Summary Administration,3920,2099,1821,"CSA,EUR",2,,,122,,3327,,,,8754,,417204,,,,0.064778,,0.083068,,,,1.0204,,1.0645,,categorical-41229-both_sexes-5QG.tsv.bgz,categorical-41229-both_sexes-5QG.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5QG.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5QG.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5QG.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5QG.tsv.bgz.tbi,1118481267,1932884,419c7e02a32a6e22672797d4e4639e78,9c49e101addc933ecd3d03a2a21db233,CA__Summary_Administration_h0.08307_n3920,,1,CA_Administration_h0.08307
phecode,704.1,both_sexes,,,Alopecia,,,dermatologic,240,177,39,EUR,1,,,,,187,,,,,,413211,,,,,,0.085055,,,,,,0.99938,,phecode-704.1-both_sexes.tsv.bgz,phecode-704.1-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-704.1-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-704.1-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-704.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-704.1-both_sexes.tsv.bgz.tbi,515471468,1750484,760f9d9472a714031b006e8561e17326,ca056f87e577382bd782ad83cdd2fa78,PH_Alopecia_h0.08506_n240,,0,PH_Alopecia_h0.08506
categorical,41248,both_sexes,7002,,Destinations on discharge from hospital (recoded),"This field is a summary of the distinct destination on discharge codes a participant has had recorded in their hospital inpatient records. Destination on discharge identifies whether a patient was due to return to their usual place of residence on leaving hospital, or whether they were due to go elsewhere.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field DISDEST_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.","Nursing, residential care, group home: Local Authoritory",Health-related outcomes > Hospital inpatient > Summary Administration,427,182,245,EUR,1,,,,,392,,,,,,411705,,,,,,0.087036,,,,,,0.99836,,categorical-41248-both_sexes-7002.tsv.bgz,categorical-41248-both_sexes-7002.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-7002.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-7002.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-7002.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-7002.tsv.bgz.tbi,526048659,1751448,21f61c04671de86a0fba183fcd950bd0,89d78cb3b3fec73949ecfad2e0b231f1,CA__Summary_Administration_h0.08704_n427,,1,CA_Administration_h0.08704
prescriptions,aromatase inhibitor|breast cancer,both_sexes,,,,,,,2407,2127,14,EUR,1,,,,,2058,,,,,,418473,,,,,,0.09369,,,,,,1.0165,,prescriptions-aromatase_inhibitor|breast_cancer-both_sexes.tsv.bgz,prescriptions-aromatase_inhibitor|breast_cancer-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-aromatase_inhibitor|breast_cancer-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-aromatase_inhibitor|breast_cancer-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-aromatase_inhibitor|breast_cancer-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-aromatase_inhibitor|breast_cancer-both_sexes.tsv.bgz.tbi,542510719,1752031,260455051712615f54012bb16dac922e,6c295cde6ddbceafc4102f63d3114ba1,PR_aromatase_inhibitor_breast_cancer_h0.09369_n2407,,0,PR_aromatase_inhibitor_breast_cancer_h0.09369
categorical,41248,both_sexes,5003,,Destinations on discharge from hospital (recoded),"This field is a summary of the distinct destination on discharge codes a participant has had recorded in their hospital inpatient records. Destination on discharge identifies whether a patient was due to return to their usual place of residence on leaving hospital, or whether they were due to go elsewhere.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field DISDEST_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.","Transfer to other NHS provider: Psychiatry, learning disabilities",Health-related outcomes > Hospital inpatient > Summary Administration,787,402,385,EUR,1,,,,,685,,,,,,411425,,,,,,0.099282,,,,,,0.99612,,categorical-41248-both_sexes-5003.tsv.bgz,categorical-41248-both_sexes-5003.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-5003.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-5003.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41248-both_sexes-5003.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41248-both_sexes-5003.tsv.bgz.tbi,533626706,1751693,0a2fb2abbb9295e832b60d7f90bcd520,fedc6557554d77c9be159919dbdb4109,CA__Summary_Administration_h0.09928_n787,,1,CA_Administration_h0.09928
phecode,586.3,both_sexes,,,Vascular disorders of kidney/hypertrophy,,,genitourinary,118,38,72,EUR,1,,,,,103,,,,,,401927,,,,,,0.099867,,,,,,1.0077,,phecode-586.3-both_sexes.tsv.bgz,phecode-586.3-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-586.3-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-586.3-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-586.3-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-586.3-both_sexes.tsv.bgz.tbi,507836060,1750574,2d1eed567964a617c3667a510dff8884,864f43dc2ac2044bb4a1e70f93d5376a,PH_Vascular_disorders_of_kidney/hypertrophy_h0.09987_n118,,0,PH_Vascular_disorders_of_kidney_hypertrophy_h0.09987
icd10,F50,both_sexes,,,F50 Eating disorders,truncated: true,,Chapter V Mental and behavioural disorders | F50-F59 Behavioural syndromes associated with physiological disturbances and physical factors | F50 Eating disorders,131,110,14,EUR,1,,,,,120,,,,,,420411,,,,,,0.10133,,,,,,0.98114,,icd10-F50-both_sexes.tsv.bgz,icd10-F50-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-F50-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-F50-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-F50-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-F50-both_sexes.tsv.bgz.tbi,509498265,1750464,aa134d8780cece885bfec38f7371f3a7,c4ade2a9d3824532e6843874078a8ce6,IC_Eating_disorders_h0.10133_n131,,0,IC_Eating_disorders_h0.10133
categorical,12253,both_sexes,6,,DXA measuring method,.,Not performed - equipment failure,UK Biobank Assessment Centre > Imaging > DXA assessment,759,392,367,EUR,1,,,,,688,,,,,,36664,,,,,,0.10497,,,,,,1.0082,,categorical-12253-both_sexes-6.tsv.bgz,categorical-12253-both_sexes-6.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-12253-both_sexes-6.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-12253-both_sexes-6.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-12253-both_sexes-6.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-12253-both_sexes-6.tsv.bgz.tbi,524022947,1750500,ebc47c4bf505d0955e034ec581839f72,e7791d47c843a847aa965d1c7bd8e2b2,CA_DXA_assessment_h0.10497_n759,,0,CA_DXA_assessment_h0.10497
categorical,41229,both_sexes,5HY,,PCT responsible for patient data,"This field is a summary of the distinct ""Current PCT responsible for patient"" codes a participant has had recorded in their hospital inpatient records. The PCT code identifies the administrative body with whom the patient is registered.  This field corresponds to the field PCTCODE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",HOUNSLOW PCT,Health-related outcomes > Hospital inpatient > Summary Administration,3418,1888,1530,"AFR,CSA,EAS,EUR",4,96,,709,55,1992,,6540,,8167,2654,418539,,0,,0.11409,0.13543,0.10748,,1.0608,,0.96231,1.0258,1.026,,categorical-41229-both_sexes-5HY.tsv.bgz,categorical-41229-both_sexes-5HY.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5HY.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5HY.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5HY.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5HY.tsv.bgz.tbi,1821800461,2115269,62c54af26813978c4d8cc98f234e8b75,a03205bfd4d75da5d1f199cd0859538f,CA__Summary_Administration_h0.10748_n3418,,1,CA_Administration_h0.10748
categorical,41229,both_sexes,5C4,,PCT responsible for patient data,"This field is a summary of the distinct ""Current PCT responsible for patient"" codes a participant has had recorded in their hospital inpatient records. The PCT code identifies the administrative body with whom the patient is registered.  This field corresponds to the field PCTCODE on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",TOWER HAMLETS PCT,Health-related outcomes > Hospital inpatient > Summary Administration,965,467,498,"AFR,EUR",2,65,,,,596,,6571,,,,419935,,0.14186,,,,0.1081,,1.0044,,,,1.0181,,categorical-41229-both_sexes-5C4.tsv.bgz,categorical-41229-both_sexes-5C4.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5C4.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5C4.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5C4.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41229-both_sexes-5C4.tsv.bgz.tbi,1219515460,1955331,3a75bcdf57b63a5514a42add9ed372a5,6a5c1559599fea1b908d8bee05169c9d,CA__Summary_Administration_h0.10810_n965,,1,CA_Administration_h0.10810
prescriptions,anastrozole,both_sexes,,,,,,"aromatase inhibitor,breast cancer",1440,1261,12,EUR,1,,,,,1226,,,,,,419305,,,,,,0.10931,,,,,,0.99001,,prescriptions-anastrozole-both_sexes.tsv.bgz,prescriptions-anastrozole-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-anastrozole-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-anastrozole-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-anastrozole-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/prescriptions-anastrozole-both_sexes.tsv.bgz.tbi,538801096,1751811,72838debf983b97758a7a69cc831b1bd,b166f2db858582919079322bedcfa57d,PR_anastrozole_h0.10931_n1440,,0,PR_anastrozole_h0.10931
categorical,41250,both_sexes,1001,,Methods of discharge from hospital (recoded),"This field is a summary of the distinct method of discharge codes a participant has had recorded in their hospital inpatient records. Method of discharge from hospital identifies how a patient was discharged - i.e. whether this was on clinical advice, the patient died in hospital or the patient discharged themselves.  Note that the original information was obtained from a variety of external sources, some of which used overlapping and contradictory coding schemes. This field has been re-coded to remove such data conflicts.  This field corresponds to the field DISMETH_UNI on the HESIN table; see the Inpatient Data Dictionary (~R141140~) in ~L2000~ for information about the HESIN table.  In order to conduct detailed analyses of this data using the source information, researchers will need to gain access to the HESIN table by adding ~F41259~ to their basket.",Discharged on clinical advice/consent: From inpatient/daycase care,Health-related outcomes > Hospital inpatient > Summary Administration,25425,13990,11435,"CSA,EAS,EUR",3,,,167,87,22190,,,,8665,2619,396769,,,,0.16301,0.05771,0.11806,,,,1.0102,1.016,1.1529,,categorical-41250-both_sexes-1001.tsv.bgz,categorical-41250-both_sexes-1001.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41250-both_sexes-1001.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41250-both_sexes-1001.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41250-both_sexes-1001.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-41250-both_sexes-1001.tsv.bgz.tbi,1382518521,2012920,41ef2d8afdba4b7cf8fa52feb31d7e83,2399ae8a35071804e22c48029579e34d,CA__Summary_Administration_h0.11806_n25425,,1,CA_Administration_h0.11806
categorical,100920,both_sexes,2109,,Type milk consumed,"Question asked: ""Which type of milk did you use most frequently yesterday? Remember milk in drinks, on cereal and in cooking."" If the participant activated the Help feature they were shown the message:  If you typically use more than one type of milk, please select the one you use the most, even if it is only used slightly more than other types. If you had 1% fat milk (e.g. Sainsbury's orange top milk) then please select Semi-skimmed milk.",powdered milk,Online follow-up > Diet by 24-hour recall > Milk/eggs/cheese yesterday,332,177,155,EUR,1,,,,,269,,,,,,58621,,,,,,0.11825,,,,,,1.0114,,categorical-100920-both_sexes-2109.tsv.bgz,categorical-100920-both_sexes-2109.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-100920-both_sexes-2109.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-100920-both_sexes-2109.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-100920-both_sexes-2109.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-100920-both_sexes-2109.tsv.bgz.tbi,519157766,1750675,7aaa2bcd6424a2aa7a41b9673a39aee9,5a0c7708c3338b5f3fb2b3e7a8e57ebc,CA__Milk/eggs/cheese_yesterday_h0.11825_n332,,1,CA_Milk_eggs_cheese_yesterday_h0.11825
phecode,613.1,both_sexes,,,Inflammatory disease of breast,,,genitourinary,930,831,27,EUR,1,,,,,802,,,,,,418289,,,,,,0.11835,,,,,,0.97794,,phecode-613.1-both_sexes.tsv.bgz,phecode-613.1-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-613.1-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-613.1-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-613.1-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-613.1-both_sexes.tsv.bgz.tbi,534789041,1751472,4fcff83cd5b825cae5f8fa4ef05b8a63,7310c09d07418ce5aee51c74de92b6aa,PH_Inflammatory_disease_of_breast_h0.11835_n930,,0,PH_Inflammatory_disease_of_breast_h0.11835
