10ClassKind,10DepthInKind,icd10Code,icd10Chapter,icd10Title,11ClassKind,11DepthInKind,ICD-11 FoundationURI,Linearization (releaseURI),icd11Code,icd11Chapter,icd11Title,2020-09-15
category,2,A01.3,I,Paratyphoid fever C,category,1,http://id.who.int/icd/entity/800386953,http://id.who.int/icd/release/11/beta/mms/1780040028,1A08,01,Paratyphoid fever,
category,2,A01.4,I,"Paratyphoid fever, unspecified",category,1,http://id.who.int/icd/entity/1780040028,http://id.who.int/icd/release/11/beta/mms/1780040028,1A08,01,Paratyphoid fever,
category,1,A02,I,Other salmonella infections,category,1,http://id.who.int/icd/entity/515117475,http://id.who.int/icd/release/11/beta/mms/515117475,1A09,01,Infections due to other Salmonella,
category,2,A02.0,I,Salmonella enteritis,category,1,http://id.who.int/icd/entity/1520312138,http://id.who.int/icd/release/11/beta/mms/515117475,1A09,01,Infections due to other Salmonella,
category,2,A02.1,I,Salmonella sepsis,category,1,http://id.who.int/icd/entity/622600769,http://id.who.int/icd/release/11/beta/mms/622600769,1G40,01,Sepsis without septic shock,
category,2,A02.2,I,Localized salmonella infections,category,1,http://id.who.int/icd/entity/515117475,http://id.who.int/icd/release/11/beta/mms/515117475,1A09,01,Infections due to other Salmonella,
category,2,A02.8,I,Other specified salmonella infections,category,1,http://id.who.int/icd/entity/515117475,http://id.who.int/icd/release/11/beta/mms/515117475,1A09,01,Infections due to other Salmonella,
category,2,A02.9,I,"Salmonella infection, unspecified",category,1,http://id.who.int/icd/entity/520429137,http://id.who.int/icd/release/11/beta/mms/520429137,1C41,01,Bacterial infection of unspecified site,
category,1,A03,I,Shigellosis,category,1,http://id.who.int/icd/entity/2080365623,http://id.who.int/icd/release/11/beta/mms/2080365623,1A02,01,Intestinal infections due to Shigella,
category,2,A03.0,I,Shigellosis due to Shigella dysenteriae,category,1,http://id.who.int/icd/entity/1181145033,http://id.who.int/icd/release/11/beta/mms/2080365623,1A02,01,Intestinal infections due to Shigella,
category,2,A03.1,I,Shigellosis due to Shigella flexneri,category,1,http://id.who.int/icd/entity/590158429,http://id.who.int/icd/release/11/beta/mms/2080365623,1A02,01,Intestinal infections due to Shigella,
category,2,A03.2,I,Shigellosis due to Shigella boydii,category,1,http://id.who.int/icd/entity/1468025508,http://id.who.int/icd/release/11/beta/mms/2080365623,1A02,01,Intestinal infections due to Shigella,
category,2,A03.3,I,Shigellosis due to Shigella sonnei,category,1,http://id.who.int/icd/entity/852199222,http://id.who.int/icd/release/11/beta/mms/2080365623,1A02,01,Intestinal infections due to Shigella,
category,2,A03.8,I,Other shigellosis,category,1,http://id.who.int/icd/entity/520429137,http://id.who.int/icd/release/11/beta/mms/520429137,1C41,01,Bacterial infection of unspecified site,
category,2,A03.9,I,"Shigellosis, unspecified",category,1,http://id.who.int/icd/entity/2080365623,http://id.who.int/icd/release/11/beta/mms/2080365623,1A02,01,Intestinal infections due to Shigella,
category,1,A04,I,Other bacterial intestinal infections,category,1,http://id.who.int/icd/entity/135352227,http://id.who.int/icd/release/11/beta/mms/135352227/unspecified,1A0Z,01,"Bacterial intestinal infections, unspecified",
category,2,A04.0,I,Enteropathogenic Escherichia coli infection,category,2,http://id.who.int/icd/entity/2099226249,http://id.who.int/icd/release/11/beta/mms/2099226249,1A03.0,01,Enteropathogenic Escherichia coli infection,
category,2,A04.1,I,Enterotoxigenic Escherichia coli infection,category,2,http://id.who.int/icd/entity/408185629,http://id.who.int/icd/release/11/beta/mms/408185629,1A03.1,01,Enterotoxigenic Escherichia coli infection,
category,2,A04.2,I,Enteroinvasive Escherichia coli infection,category,2,http://id.who.int/icd/entity/1828273122,http://id.who.int/icd/release/11/beta/mms/1828273122,1A03.2,01,Enteroinvasive Escherichia coli infection,
category,2,A04.3,I,Enterohaemorrhagic Escherichia coli infection,category,2,http://id.who.int/icd/entity/162723448,http://id.who.int/icd/release/11/beta/mms/162723448,1A03.3,01,Enterohaemorrhagic Escherichia coli infection,
category,2,A04.4,I,Other intestinal Escherichia coli infections,category,2,http://id.who.int/icd/entity/344162786,http://id.who.int/icd/release/11/beta/mms/344162786/unspecified,1A03.Z,01,"Intestinal infections due to Escherichia coli, unspecified",
category,2,A04.5,I,Campylobacter enteritis,category,1,http://id.who.int/icd/entity/794462570,http://id.who.int/icd/release/11/beta/mms/794462570,1A06,01,Gastroenteritis due to Campylobacter,
category,2,A04.6,I,Enteritis due to Yersinia enterocolitica,category,1,http://id.who.int/icd/entity/1000894786,http://id.who.int/icd/release/11/beta/mms/1000894786,1A05,01,Intestinal infections due to Yersinia enterocolitica,
category,2,A04.7,I,Enterocolitis due to Clostridium difficile,category,1,http://id.who.int/icd/entity/250688797,http://id.who.int/icd/release/11/beta/mms/250688797,1A04,01,Intestinal infections due to Clostridioides difficile,
category,2,A04.8,I,Other specified bacterial intestinal infections,category,1,http://id.who.int/icd/entity/135352227,http://id.who.int/icd/release/11/beta/mms/135352227/unspecified,1A0Z,01,"Bacterial intestinal infections, unspecified",
category,2,A04.9,I,"Bacterial intestinal infection, unspecified",category,1,http://id.who.int/icd/entity/135352227,http://id.who.int/icd/release/11/beta/mms/135352227/unspecified,1A0Z,01,"Bacterial intestinal infections, unspecified",
category,1,A05,I,"Other bacterial foodborne intoxications, not elsewhere classified",category,1,http://id.who.int/icd/entity/1834648119,http://id.who.int/icd/release/11/beta/mms/1834648119/unspecified,1A1Z,01,"Bacterial foodborne intoxications, unspecified",
category,2,A05.0,I,Foodborne staphylococcal intoxication,category,1,http://id.who.int/icd/entity/1642556936,http://id.who.int/icd/release/11/beta/mms/1642556936,1A10,01,Foodborne staphylococcal intoxication,
category,2,A05.1,I,Botulism,category,2,http://id.who.int/icd/entity/78422942,http://id.who.int/icd/release/11/beta/mms/78422942/unspecified,1A11.Z,01,"Botulism, unspecified",
category,2,A05.2,I,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,category,1,http://id.who.int/icd/entity/1879176035,http://id.who.int/icd/release/11/beta/mms/1879176035,1A12,01,Foodborne Clostridium perfringens intoxication,
category,2,A05.3,I,Foodborne Vibrio parahaemolyticus intoxication,category,1,http://id.who.int/icd/entity/416025325,http://id.who.int/icd/release/11/beta/mms/416025325,1A01,01,Intestinal infection due to other Vibrio,
category,2,A05.4,I,Foodborne Bacillus cereus intoxication,category,1,http://id.who.int/icd/entity/1722068323,http://id.who.int/icd/release/11/beta/mms/1722068323,1A13,01,Foodborne Bacillus cereus intoxication,
category,2,A05.8,I,Other specified bacterial foodborne intoxications,category,1,http://id.who.int/icd/entity/1834648119,http://id.who.int/icd/release/11/beta/mms/1834648119/unspecified,1A1Z,01,"Bacterial foodborne intoxications, unspecified",
category,2,A05.9,I,"Bacterial foodborne intoxication, unspecified",category,1,http://id.who.int/icd/entity/1834648119,http://id.who.int/icd/release/11/beta/mms/1834648119/unspecified,1A1Z,01,"Bacterial foodborne intoxications, unspecified",
category,1,A06,I,Amoebiasis,category,2,http://id.who.int/icd/entity/435671752,http://id.who.int/icd/release/11/beta/mms/435671752/unspecified,1A36.Z,01,"Amoebiasis, unspecified",
category,2,A06.0,I,Acute amoebic dysentery,category,3,http://id.who.int/icd/entity/1727029934,http://id.who.int/icd/release/11/beta/mms/1727029934/unspecified,1A36.0Z,01,"Intestinal infections due to Entamoeba, unspecified",
category,2,A06.1,I,Chronic intestinal amoebiasis,category,3,http://id.who.int/icd/entity/86705058,http://id.who.int/icd/release/11/beta/mms/1727029934/unspecified,1A36.0Z,01,"Intestinal infections due to Entamoeba, unspecified",
category,2,A06.2,I,Amoebic nondysenteric colitis,category,3,http://id.who.int/icd/entity/1959427510,http://id.who.int/icd/release/11/beta/mms/1727029934/unspecified,1A36.0Z,01,"Intestinal infections due to Entamoeba, unspecified",
category,2,A06.3,I,Amoeboma of intestine,category,3,http://id.who.int/icd/entity/349019849,http://id.who.int/icd/release/11/beta/mms/349019849,1A36.01,01,Amoeboma of intestine,
category,2,A06.4,I,Amoebic liver abscess,category,3,http://id.who.int/icd/entity/1730350429,http://id.who.int/icd/release/11/beta/mms/1730350429,1A36.10,01,Amoebic liver abscess,
category,2,A06.5,I,Amoebic lung abscess,category,3,http://id.who.int/icd/entity/40419529,http://id.who.int/icd/release/11/beta/mms/40419529,1A36.11,01,Amoebic lung abscess,
category,2,A06.6,I,Amoebic brain abscess,category,2,http://id.who.int/icd/entity/1992658998,http://id.who.int/icd/release/11/beta/mms/1777228366,1A36.1&XA9738/1D03.3,01,Extraintestinal infections due to Entamoeba / Brain / Intracranial abscess,
category,2,A06.7,I,Cutaneous amoebiasis,category,3,http://id.who.int/icd/entity/328097188,http://id.who.int/icd/release/11/beta/mms/328097188,1A36.12,01,Cutaneous amoebiasis,
category,2,A06.8,I,Amoebic infection of other sites,category,2,http://id.who.int/icd/entity/1777228366,http://id.who.int/icd/release/11/beta/mms/1777228366,1A36.1,01,Extraintestinal infections due to Entamoeba,
category,2,A06.9,I,"Amoebiasis, unspecified",category,2,http://id.who.int/icd/entity/435671752,http://id.who.int/icd/release/11/beta/mms/435671752/unspecified,1A36.Z,01,"Amoebiasis, unspecified",
category,1,A07,I,Other protozoal intestinal diseases,category,1,http://id.who.int/icd/entity/2092703582,http://id.who.int/icd/release/11/beta/mms/2092703582/unspecified,1A3Z,01,"Protozoal intestinal infections, unspecified",
category,2,A07.0,I,Balantidiasis,category,1,http://id.who.int/icd/entity/2090337975,http://id.who.int/icd/release/11/beta/mms/2090337975,1A30,01,Infections due to Balantidium coli,
category,2,A07.1,I,Giardiasis [lambliasis],category,1,http://id.who.int/icd/entity/433310499,http://id.who.int/icd/release/11/beta/mms/433310499,1A31,01,Giardiasis,
category,2,A07.2,I,Cryptosporidiosis,category,1,http://id.who.int/icd/entity/1837013982,http://id.who.int/icd/release/11/beta/mms/1837013982,1A32,01,Cryptosporidiosis,
category,2,A07.3,I,Isosporiasis,category,2,http://id.who.int/icd/entity/137713224,http://id.who.int/icd/release/11/beta/mms/137713224/unspecified,1A33.Z,01,"Cystoisosporiasis, unspecified",
category,2,A07.8,I,Other specified protozoal intestinal diseases,category,1,http://id.who.int/icd/entity/2092703582,http://id.who.int/icd/release/11/beta/mms/2092703582/unspecified,1A3Z,01,"Protozoal intestinal infections, unspecified",
category,2,A07.9,I,"Protozoal intestinal disease, unspecified",category,1,http://id.who.int/icd/entity/2089071035,http://id.who.int/icd/release/11/beta/mms/2092703582/unspecified,1A3Z,01,"Protozoal intestinal infections, unspecified",
category,1,A08,I,Viral and other specified intestinal infections,category,1,http://id.who.int/icd/entity/30738976,http://id.who.int/icd/release/11/beta/mms/30738976/unspecified,1A2Z,01,"Viral intestinal infections, unspecified",
category,2,A08.0,I,Rotaviral enteritis,category,1,http://id.who.int/icd/entity/840750347,http://id.who.int/icd/release/11/beta/mms/840750347,1A22,01,Gastroenteritis due to Rotavirus,
category,2,A08.1,I,Acute gastroenteropathy due to Norovirus,category,1,http://id.who.int/icd/entity/1465325727,http://id.who.int/icd/release/11/beta/mms/1465325727,1A23,01,Enteritis due to Norovirus,
category,2,A08.2,I,Adenoviral enteritis,category,1,http://id.who.int/icd/entity/749414717,http://id.who.int/icd/release/11/beta/mms/749414717,1A20,01,Enteritis due to Adenovirus,
category,2,A08.3,I,Other viral enteritis,category,1,http://id.who.int/icd/entity/30738976,http://id.who.int/icd/release/11/beta/mms/30738976/unspecified,1A2Z,01,"Viral intestinal infections, unspecified",
category,2,A08.4,I,"Viral intestinal infection, unspecified",category,1,http://id.who.int/icd/entity/1142254576,http://id.who.int/icd/release/11/beta/mms/30738976/unspecified,1A2Z,01,"Viral intestinal infections, unspecified",
category,2,A08.5,I,Other specified intestinal infections,block,1,http://id.who.int/icd/entity/588616678,http://id.who.int/icd/release/11/beta/mms/588616678,,01,Gastroenteritis or colitis of infectious origin,
category,1,A09,I,Other gastroenteritis and colitis of infectious and unspecified origin,category,2,http://id.who.int/icd/entity/1688127370,http://id.who.int/icd/release/11/beta/mms/1688127370/unspecified,1A40.Z,01,Infectious gastroenteritis or colitis without specification of infectious agent,
category,2,A09.0,I,Other and unspecified gastroenteritis and colitis of infectious origin,category,2,http://id.who.int/icd/entity/1688127370,http://id.who.int/icd/release/11/beta/mms/1688127370/unspecified,1A40.Z,01,Infectious gastroenteritis or colitis without specification of infectious agent,
category,2,A09.9,I,Gastroenteritis and colitis of unspecified origin,category,2,http://id.who.int/icd/entity/1160271562,http://id.who.int/icd/release/11/beta/mms/1160271562,1A40.0,01,Gastroenteritis or colitis without specification of origin,
block,1,A15-A19,I,Tuberculosis,category,1,http://id.who.int/icd/entity/2072728114,http://id.who.int/icd/release/11/beta/mms/2072728114/unspecified,1B1Z,01,"Tuberculosis, unspecified",
category,1,A15,I,"Respiratory tuberculosis, bacteriologically and histologically confirmed",category,2,http://id.who.int/icd/entity/983550510,http://id.who.int/icd/release/11/beta/mms/983550510,1B10.0,01,"Respiratory tuberculosis, confirmed",
category,2,A15.0,I,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",category,2,http://id.who.int/icd/entity/1912425785,http://id.who.int/icd/release/11/beta/mms/983550510,1B10.0,01,"Respiratory tuberculosis, confirmed",
category,2,A15.1,I,"Tuberculosis of lung, confirmed by culture only",category,2,http://id.who.int/icd/entity/347504813,http://id.who.int/icd/release/11/beta/mms/983550510,1B10.0,01,"Respiratory tuberculosis, confirmed",
category,2,A15.2,I,"Tuberculosis of lung, confirmed histologically",category,2,http://id.who.int/icd/entity/1612435540,http://id.who.int/icd/release/11/beta/mms/983550510,1B10.0,01,"Respiratory tuberculosis, confirmed",
category,2,A15.3,I,"Tuberculosis of lung, confirmed by unspecified means",category,2,http://id.who.int/icd/entity/89136582,http://id.who.int/icd/release/11/beta/mms/983550510,1B10.0,01,"Respiratory tuberculosis, confirmed",
category,2,A15.4,I,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",category,2,http://id.who.int/icd/entity/1992199762,http://id.who.int/icd/release/11/beta/mms/983550510,1B10.0,01,"Respiratory tuberculosis, confirmed",
category,2,A15.5,I,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",category,2,http://id.who.int/icd/entity/334840776,http://id.who.int/icd/release/11/beta/mms/983550510,1B10.0,01,"Respiratory tuberculosis, confirmed",
category,2,A15.6,I,"Tuberculous pleurisy, confirmed bacteriologically and histologically",category,2,http://id.who.int/icd/entity/1733825337,http://id.who.int/icd/release/11/beta/mms/983550510,1B10.0,01,"Respiratory tuberculosis, confirmed",
category,2,A15.7,I,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",category,2,http://id.who.int/icd/entity/34856621,http://id.who.int/icd/release/11/beta/mms/983550510,1B10.0,01,"Respiratory tuberculosis, confirmed",
category,2,A15.8,I,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",category,2,http://id.who.int/icd/entity/983550510,http://id.who.int/icd/release/11/beta/mms/983550510,1B10.0,01,"Respiratory tuberculosis, confirmed",
category,2,A15.9,I,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",category,2,http://id.who.int/icd/entity/983550510,http://id.who.int/icd/release/11/beta/mms/983550510,1B10.0,01,"Respiratory tuberculosis, confirmed",
category,1,A16,I,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",category,2,http://id.who.int/icd/entity/1311939281,http://id.who.int/icd/release/11/beta/mms/1311939281,1B10.1,01,"Respiratory tuberculosis, not confirmed",
category,2,A16.0,I,"Tuberculosis of lung, bacteriologically and histologically negative",category,2,http://id.who.int/icd/entity/1887104263,http://id.who.int/icd/release/11/beta/mms/1311939281,1B10.1,01,"Respiratory tuberculosis, not confirmed",
category,2,A16.1,I,"Tuberculosis of lung, bacteriological and histological examination not done",category,2,http://id.who.int/icd/entity/355541139,http://id.who.int/icd/release/11/beta/mms/1311939281,1B10.1,01,"Respiratory tuberculosis, not confirmed",
category,2,A16.2,I,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",category,2,http://id.who.int/icd/entity/1637642348,http://id.who.int/icd/release/11/beta/mms/882244568/unspecified,1B10.Z,01,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",
category,2,A16.3,I,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",category,2,http://id.who.int/icd/entity/81247738,http://id.who.int/icd/release/11/beta/mms/882244568/unspecified,1B10.Z,01,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",
category,2,A16.4,I,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",category,2,http://id.who.int/icd/entity/2000236142,http://id.who.int/icd/release/11/beta/mms/882244568/unspecified,1B10.Z,01,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",
category,2,A16.5,I,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",category,2,http://id.who.int/icd/entity/309519352,http://id.who.int/icd/release/11/beta/mms/882244568/unspecified,1B10.Z,01,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",
category,2,A16.7,I,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,category,2,http://id.who.int/icd/entity/60063379,http://id.who.int/icd/release/11/beta/mms/882244568/unspecified,1B10.Z,01,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",
category,2,A16.8,I,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",category,2,http://id.who.int/icd/entity/882244568,http://id.who.int/icd/release/11/beta/mms/882244568/unspecified,1B10.Z,01,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",
category,2,A16.9,I,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",category,2,http://id.who.int/icd/entity/882244568,http://id.who.int/icd/release/11/beta/mms/882244568/unspecified,1B10.Z,01,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",
category,1,A17,I,Tuberculosis of nervous system,category,2,http://id.who.int/icd/entity/729372485,http://id.who.int/icd/release/11/beta/mms/729372485/unspecified,1B11.Z,01,"Tuberculosis of the nervous system, unspecified",
category,2,A17.0,I,Tuberculous meningitis,category,2,http://id.who.int/icd/entity/1820468614,http://id.who.int/icd/release/11/beta/mms/1820468614,1B11.0,01,Tuberculous meningitis,
category,2,A17.1,I,Meningeal tuberculoma,category,2,http://id.who.int/icd/entity/164227092,http://id.who.int/icd/release/11/beta/mms/164227092,1B11.2,01,Meningeal tuberculoma,
category,2,A17.8,I,Other tuberculosis of nervous system,category,2,http://id.who.int/icd/entity/729372485,http://id.who.int/icd/release/11/beta/mms/729372485/unspecified,1B11.Z,01,"Tuberculosis of the nervous system, unspecified",
category,2,A17.9,I,"Tuberculosis of nervous system, unspecified",category,2,http://id.who.int/icd/entity/729372485,http://id.who.int/icd/release/11/beta/mms/729372485/unspecified,1B11.Z,01,"Tuberculosis of the nervous system, unspecified",
category,1,A18,I,Tuberculosis of other organs,category,1,http://id.who.int/icd/entity/746680558,http://id.who.int/icd/release/11/beta/mms/746680558,1B12,01,Tuberculosis of other systems and organs,
category,2,A18.0,I,Tuberculosis of bones and joints,category,3,http://id.who.int/icd/entity/570881596,http://id.who.int/icd/release/11/beta/mms/570881596,1B12.40,01,Tuberculosis of bones or joints,
category,2,A18.1,I,Tuberculosis of genitourinary system,category,2,http://id.who.int/icd/entity/1196243886,http://id.who.int/icd/release/11/beta/mms/1196243886,1B12.5,01,Tuberculosis of the genitourinary system,
category,2,A18.2,I,Tuberculous peripheral lymphadenopathy,category,2,http://id.who.int/icd/entity/870345553,http://id.who.int/icd/release/11/beta/mms/870345553,1B12.6,01,Tuberculous peripheral lymphadenopathy,
category,2,A18.3,I,"Tuberculosis of intestines, peritoneum and mesenteric glands",category,2,http://id.who.int/icd/entity/1873777499,http://id.who.int/icd/release/11/beta/mms/1873777499,1B12.7,01,Tuberculosis of the digestive system,
category,2,A18.4,I,Tuberculosis of skin and subcutaneous tissue,category,3,http://id.who.int/icd/entity/1828714202,http://id.who.int/icd/release/11/beta/mms/1828714202,1B12.41,01,Tuberculous myositis,
category,2,A18.5,I,Tuberculosis of eye,category,2,http://id.who.int/icd/entity/1074723013,http://id.who.int/icd/release/11/beta/mms/1074723013,1B12.1,01,Tuberculosis of eye,
category,2,A18.6,I,Tuberculosis of ear,category,2,http://id.who.int/icd/entity/883140666,http://id.who.int/icd/release/11/beta/mms/883140666,1B12.2,01,Tuberculosis of ear,
category,2,A18.7,I,Tuberculosis of adrenal glands,category,2,http://id.who.int/icd/entity/1374184880,http://id.who.int/icd/release/11/beta/mms/807058764,1B12.3&XA0NE9,01,Tuberculosis of endocrine glands / Adrenal gland,
category,2,A18.8,I,Tuberculosis of other specified organs,category,1,http://id.who.int/icd/entity/746680558,http://id.who.int/icd/release/11/beta/mms/746680558,1B12,01,Tuberculosis of other systems and organs,
category,1,A19,I,Miliary tuberculosis,category,2,http://id.who.int/icd/entity/861638547,http://id.who.int/icd/release/11/beta/mms/861638547/unspecified,1B13.Z,01,"Miliary tuberculosis, unspecified",
category,2,A19.0,I,Acute miliary tuberculosis of a single specified site,category,2,http://id.who.int/icd/entity/1056849595,http://id.who.int/icd/release/11/beta/mms/1056849595,1B13.0,01,Acute miliary tuberculosis of a single specified site,
category,2,A19.1,I,Acute miliary tuberculosis of multiple sites,category,2,http://id.who.int/icd/entity/1538650927,http://id.who.int/icd/release/11/beta/mms/1538650927,1B13.1,01,Acute miliary tuberculosis of multiple sites,
category,2,A19.2,I,"Acute miliary tuberculosis, unspecified",category,2,http://id.who.int/icd/entity/861638547,http://id.who.int/icd/release/11/beta/mms/861638547/unspecified,1B13.Z,01,"Miliary tuberculosis, unspecified",
category,2,A19.8,I,Other miliary tuberculosis,category,2,http://id.who.int/icd/entity/861638547,http://id.who.int/icd/release/11/beta/mms/861638547/unspecified,1B13.Z,01,"Miliary tuberculosis, unspecified",
category,2,A19.9,I,"Miliary tuberculosis, unspecified",category,2,http://id.who.int/icd/entity/861638547,http://id.who.int/icd/release/11/beta/mms/861638547/unspecified,1B13.Z,01,"Miliary tuberculosis, unspecified",
block,1,A20-A28,I,Certain zoonotic bacterial diseases,category,1,http://id.who.int/icd/entity/1935092859,http://id.who.int/icd/release/11/beta/mms/1935092859/unspecified,1B9Z,01,Unspecified zoonotic bacterial disease,
category,1,A20,I,Plague,category,2,http://id.who.int/icd/entity/1596449540,http://id.who.int/icd/release/11/beta/mms/1596449540/unspecified,1B93.Z,01,"Plague, unspecified",
category,2,A20.0,I,Bubonic plague,category,2,http://id.who.int/icd/entity/1742025109,http://id.who.int/icd/release/11/beta/mms/1742025109,1B93.0,01,Bubonic plague,
category,2,A20.1,I,Cellulocutaneous plague,category,2,http://id.who.int/icd/entity/43973633,http://id.who.int/icd/release/11/beta/mms/43973633,1B93.1,01,Cellulocutaneous plague,
category,2,A20.2,I,Pneumonic plague,category,2,http://id.who.int/icd/entity/1983098110,http://id.who.int/icd/release/11/beta/mms/1983098110,1B93.2,01,Pneumonic plague,
category,2,A20.3,I,Plague meningitis,category,2,http://id.who.int/icd/entity/326656364,http://id.who.int/icd/release/11/beta/mms/326656364,1B93.3,01,Plague meningitis,
category,2,A20.7,I,Septicaemic plague,category,2,http://id.who.int/icd/entity/1596449540,http://id.who.int/icd/release/11/beta/mms/1596449540/unspecified,1B93.Z,01,"Plague, unspecified",
category,2,A20.8,I,Other forms of plague,category,2,http://id.who.int/icd/entity/1596449540,http://id.who.int/icd/release/11/beta/mms/1596449540/unspecified,1B93.Z,01,"Plague, unspecified",
category,2,A20.9,I,"Plague, unspecified",category,2,http://id.who.int/icd/entity/1596449540,http://id.who.int/icd/release/11/beta/mms/1596449540/unspecified,1B93.Z,01,"Plague, unspecified",
category,1,A21,I,Tularaemia,category,2,http://id.who.int/icd/entity/980168338,http://id.who.int/icd/release/11/beta/mms/980168338/unspecified,1B94.Z,01,"Tularaemia, unspecified",
category,2,A21.0,I,Ulceroglandular tularaemia,category,2,http://id.who.int/icd/entity/2066610452,http://id.who.int/icd/release/11/beta/mms/2066610452,1B94.0,01,Ulceroglandular tularaemia,
category,2,A21.1,I,Oculoglandular tularaemia,category,2,http://id.who.int/icd/entity/510014594,http://id.who.int/icd/release/11/beta/mms/980168338/unspecified,1B94.Z,01,"Tularaemia, unspecified",
category,2,A21.2,I,Pulmonary tularaemia,category,2,http://id.who.int/icd/entity/1791714431,http://id.who.int/icd/release/11/beta/mms/980168338/unspecified,1B94.Z,01,"Tularaemia, unspecified",
category,2,A21.3,I,Gastrointestinal tularaemia,category,2,http://id.who.int/icd/entity/260090347,http://id.who.int/icd/release/11/beta/mms/980168338/unspecified,1B94.Z,01,"Tularaemia, unspecified",
category,2,A21.7,I,Generalized tularaemia,category,2,http://id.who.int/icd/entity/147024512,http://id.who.int/icd/release/11/beta/mms/980168338/unspecified,1B94.Z,01,"Tularaemia, unspecified",
category,2,A21.8,I,Other forms of tularaemia,category,2,http://id.who.int/icd/entity/980168338,http://id.who.int/icd/release/11/beta/mms/980168338/unspecified,1B94.Z,01,"Tularaemia, unspecified",
category,2,A21.9,I,"Tularaemia, unspecified",category,2,http://id.who.int/icd/entity/980168338,http://id.who.int/icd/release/11/beta/mms/980168338/unspecified,1B94.Z,01,"Tularaemia, unspecified",
category,1,A22,I,Anthrax,category,1,http://id.who.int/icd/entity/1321303663,http://id.who.int/icd/release/11/beta/mms/1321303663,1B97,01,Anthrax,
category,2,A22.0,I,Cutaneous anthrax,category,1,http://id.who.int/icd/entity/2057984300,http://id.who.int/icd/release/11/beta/mms/1321303663,1B97,01,Anthrax,
category,2,A22.1,I,Pulmonary anthrax,category,1,http://id.who.int/icd/entity/534877374,http://id.who.int/icd/release/11/beta/mms/1321303663,1B97,01,Anthrax,
