;phenocode;X;Unnamed..0;Unnamed..0.1;trait_type;pheno_sex;coding;modifier;description;description_more;coding_description;category;n_cases_full_cohort_both_sexes;n_cases_full_cohort_females;n_cases_full_cohort_males;pops;num_pops;n_cases_AFR;n_cases_AMR;n_cases_CSA;n_cases_EAS;n_cases_EUR;n_cases_MID;n_controls_AFR;n_controls_AMR;n_controls_CSA;n_controls_EAS;n_controls_EUR;n_controls_MID;saige_heritability_AFR;saige_heritability_AMR;saige_heritability_CSA;saige_heritability_EAS;saige_heritability_EUR;saige_heritability_MID;lambda_gc_AFR;lambda_gc_AMR;lambda_gc_CSA;lambda_gc_EAS;lambda_gc_EUR;lambda_gc_MID;filename;filename_tabix;aws_link;aws_link_tabix;wget;wget_tabix;size_in_bytes;size_in_bytes_tabix;md5_hex;md5_hex_tabix;phenocode_annotate_lst;category_manual;coding_description.1;new_pheno_annot;AB_ICD10
11;153.3;898;898;5510;phecode;both_sexes;;;Malignant neoplasm of rectum, rectosigmoid junction, and anus;;;neoplasms;3010;1131;1661;EUR;1;NA;NA;NA;NA;2705;NA;NA;NA;NA;NA;386740;NA;NA;NA;NA;NA;0.093273;NA;NA;NA;NA;NA;1.0531;NA;phecode-153.3-both_sexes.tsv.bgz;phecode-153.3-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-153.3-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-153.3-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-153.3-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-153.3-both_sexes.tsv.bgz.tbi;543955743;1752224;7dd6ee0f04e79d326ee1a4ddbbd437b3;96e48d84b74eeaeb219e92b83718a706;PH_Malignant_neoplasm_of_rectum,_rectosigmoid_junction,_and_anus_h0.09327_n3010;neoplasms;;PH_Malignant_neoplasm_of_rectum,_rectosigmoid_junction,_and_anus_h0.09327_n3010;C19
12;155.1;899;899;5512;phecode;both_sexes;;;Malignant neoplasm of liver, primary;;;neoplasms;271;72;177;EUR;1;NA;NA;NA;NA;225;NA;NA;NA;NA;NA;400294;NA;NA;NA;NA;NA;0.16944;NA;NA;NA;NA;NA;0.98886;NA;phecode-155.1-both_sexes.tsv.bgz;phecode-155.1-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-155.1-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-155.1-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-155.1-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-155.1-both_sexes.tsv.bgz.tbi;518806401;1750788;45dbec3974742295cb609c645ac0bbdc;76a7c10e366f67d721bf29e3e25d044c;PH_Malignant_neoplasm_of_liver,_primary_h0.16944_n271;neoplasms;;PH_Malignant_neoplasm_of_liver,_primary_h0.16944_n271;C22
13;157;900;900;5513;phecode;both_sexes;;;Pancreatic cancer;;;neoplasms;1060;450;531;EUR;1;NA;NA;NA;NA;936;NA;NA;NA;NA;NA;400294;NA;NA;NA;NA;NA;0.064012;NA;NA;NA;NA;NA;0.99269;NA;phecode-157-both_sexes.tsv.bgz;phecode-157-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-157-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-157-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-157-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-157-both_sexes.tsv.bgz.tbi;536830577;1751750;ecfa785e8aa78d5259782e565c1d6727;6334f0392c8b84e4e446f98fd0a8c60e;PH_Pancreatic_cancer_h0.06401_n1060;neoplasms;;PH_Pancreatic_cancer_h0.06401_n1060;C25
14;159.3;901;901;5517;phecode;both_sexes;;;Malignant neoplasm of gallbladder and extrahepatic bile ducts;;;neoplasms;323;152;152;EUR;1;NA;NA;NA;NA;289;NA;NA;NA;NA;NA;400294;NA;NA;NA;NA;NA;0.16795;NA;NA;NA;NA;NA;0.98187;NA;phecode-159.3-both_sexes.tsv.bgz;phecode-159.3-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-159.3-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-159.3-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-159.3-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-159.3-both_sexes.tsv.bgz.tbi;523113358;1751245;e8ece976cb9615a2eee7bb95c132a86b;9642c3fcffc42457875990ef407f8f66;PH_Malignant_neoplasm_of_gallbladder_and_extrahepatic_bile_ducts_h0.16795_n323;neoplasms;;PH_Malignant_neoplasm_of_gallbladder_and_extrahepatic_bile_ducts_h0.16795_n323;C23
15;165;902;902;5519;phecode;both_sexes;;;Cancer within the respiratory system;;;neoplasms;4310;1722;2261;EUR;1;NA;NA;NA;NA;3837;NA;NA;NA;NA;NA;416654;NA;NA;NA;NA;NA;0.14201;NA;NA;NA;NA;NA;1.0301;NA;phecode-165-both_sexes.tsv.bgz;phecode-165-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-165-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-165-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-165-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-165-both_sexes.tsv.bgz.tbi;545700927;1752556;89188ada4164f82e5d44afd1e10877ff;3086d3d8ef8ea353d8e46a15115010ef;PH_Cancer_within_the_respiratory_system_h0.14201_n4310;neoplasms;;PH_Cancer_within_the_respiratory_system_h0.14201_n4310;C34
16;165.1;903;903;5520;phecode;both_sexes;;;Cancer of bronchus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;172;904;904;5524;phecode;both_sexes;;;Skin cancer;;;neoplasms;18993;8720;9173;EUR;1;NA;NA;NA;NA;17691;NA;NA;NA;NA;NA;402691;NA;NA;NA;NA;NA;0.064153;NA;NA;NA;NA;NA;1.0913;NA;phecode-172-both_sexes.tsv.bgz;phecode-172-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-172-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-172-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-172-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-172-both_sexes.tsv.bgz.tbi;547323696;1752231;0e3016540b776bed1c903b8c3711375e;6b3a52b5bc942cccb6c508dad0fed220;PH_Skin_cancer_h0.06415_n18993;neoplasms;;PH_Skin_cancer_h0.06415_n18993;C44
18;172.1;905;905;5525;phecode;both_sexes;;;Melanomas of skin, dx or hx;;;neoplasms;3658;1883;1547;EUR;1;NA;NA;NA;NA;3398;NA;NA;NA;NA;NA;402691;NA;NA;NA;NA;NA;0.072263;NA;NA;NA;NA;NA;1.0434;NA;phecode-172.1-both_sexes.tsv.bgz;phecode-172.1-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-172.1-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-172.1-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-172.1-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-172.1-both_sexes.tsv.bgz.tbi;545387065;1752007;833c0877e8b8f1626ad99a5541455c7f;d46e844b8a94fa8445e563397f64fe67;PH_Melanomas_of_skin,_dx_or_hx_h0.07226_n3658;neoplasms;;PH_Melanomas_of_skin,_dx_or_hx_h0.07226_n3658;C43
19;172.2;906;906;5526;phecode;both_sexes;;;Other non-epithelial cancer of skin;;;neoplasms;15501;6853;7767;EUR;1;NA;NA;NA;NA;14453;NA;NA;NA;NA;NA;402691;NA;NA;NA;NA;NA;0.081943;NA;NA;NA;NA;NA;1.0663;NA;phecode-172.2-both_sexes.tsv.bgz;phecode-172.2-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-172.2-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-172.2-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-172.2-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-172.2-both_sexes.tsv.bgz.tbi;547507367;1752265;eb1f0bd080130dc3b2865220397f9bb4;bafc2df90e841d406dfa912fdae70e4d;PH_Other_non-epithelial_cancer_of_skin_h0.08194_n15501;neoplasms;;PH_Other_non-epithelial_cancer_of_skin_h0.08194_n15501;C44
20;189.1;907;907;5546;phecode;both_sexes;;;Cancer of kidney and renal pelvis;;;neoplasms;1524;497;919;EUR;1;NA;NA;NA;NA;1355;NA;NA;NA;NA;NA;415431;NA;NA;NA;NA;NA;0.069582;NA;NA;NA;NA;NA;1.015;NA;phecode-189.1-both_sexes.tsv.bgz;phecode-189.1-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-189.1-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-189.1-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-189.1-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-189.1-both_sexes.tsv.bgz.tbi;539882399;1751693;89578a521c3d206f0e042ebf3336f3c2;303aae9c77048c34e51dd44f433ad942;PH_Cancer_of_kidney_and_renal_pelvis_h0.06958_n1524;neoplasms;;PH_Cancer_of_kidney_and_renal_pelvis_h0.06958_n1524;C64
21;189.11;908;908;5547;phecode;both_sexes;;;Malignant neoplasm of kidney, except pelvis;;;neoplasms;1468;479;888;EUR;1;NA;NA;NA;NA;1307;NA;NA;NA;NA;NA;415431;NA;NA;NA;NA;NA;0.07198;NA;NA;NA;NA;NA;1.0143;NA;phecode-189.11-both_sexes.tsv.bgz;phecode-189.11-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-189.11-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-189.11-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-189.11-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-189.11-both_sexes.tsv.bgz.tbi;538442510;1751950;11ab05eb837d5cb1bd0130c90345d6f6;684e7cd95bc68c15af2e8cec2d8fb20d;PH_Malignant_neoplasm_of_kidney,_except_pelvis_h0.07198_n1468;neoplasms;;PH_Malignant_neoplasm_of_kidney,_except_pelvis_h0.07198_n1468;C64
22;189.21;909;909;5549;phecode;both_sexes;;;Malignant neoplasm of bladder;;;neoplasms;2899;651;2025;EUR;1;NA;NA;NA;NA;2590;NA;NA;NA;NA;NA;415431;NA;NA;NA;NA;NA;0.061763;NA;NA;NA;NA;NA;1.0436;NA;phecode-189.21-both_sexes.tsv.bgz;phecode-189.21-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-189.21-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-189.21-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-189.21-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-189.21-both_sexes.tsv.bgz.tbi;544051175;1752025;af3a7e93de77eaeafea32fe14a2fd85b;95e848f2e2feb8f009df747b95fa7bcf;PH_Malignant_neoplasm_of_bladder_h0.06176_n2899;neoplasms;;PH_Malignant_neoplasm_of_bladder_h0.06176_n2899;C67
23;191;910;910;5552;phecode;both_sexes;;;Manlignant and unknown neoplasms of brain and nervous system;;;neoplasms;989;396;515;EUR;1;NA;NA;NA;NA;876;NA;NA;NA;NA;NA;418389;NA;NA;NA;NA;NA;0.10888;NA;NA;NA;NA;NA;1.0146;NA;phecode-191-both_sexes.tsv.bgz;phecode-191-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-191-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-191-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-191-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-191-both_sexes.tsv.bgz.tbi;536240638;1751462;b3ec5812e818715ca47d429d6a7b1a73;f788a0bbf3aa724c4c642c77bb6c0254;PH_Manlignant_and_unknown_neoplasms_of_brain_and_nervous_system_h0.10888_n989;neoplasms;;PH_Manlignant_and_unknown_neoplasms_of_brain_and_nervous_system_h0.10888_n989;C71
24;191.1;911;911;5553;phecode;both_sexes;;;Cancer of brain and nervous system;;;neoplasms;806;317;431;EUR;1;NA;NA;NA;NA;724;NA;NA;NA;NA;NA;418389;NA;NA;NA;NA;NA;0.10767;NA;NA;NA;NA;NA;1.0035;NA;phecode-191.1-both_sexes.tsv.bgz;phecode-191.1-both_sexes.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-191.1-both_sexes.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-191.1-both_sexes.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-191.1-both_sexes.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/phecode-191.1-both_sexes.tsv.bgz.tbi;534397751;1752017;49877d37d3d5866c61f0d16e3cc24615;f2f073e34417fb87021937cca9546ee0;PH_Cancer_of_brain_and_nervous_system_h0.10767_n806;neoplasms;;PH_Cancer_of_brain_and_nervous_system_h0.10767_n806;C71
