;coding;X;Unnamed..0;Unnamed..0.1;trait_type;phenocode;pheno_sex;modifier;description;description_more;coding_description;category;n_cases_full_cohort_both_sexes;n_cases_full_cohort_females;n_cases_full_cohort_males;pops;num_pops;n_cases_AFR;n_cases_AMR;n_cases_CSA;n_cases_EAS;n_cases_EUR;n_cases_MID;n_controls_AFR;n_controls_AMR;n_controls_CSA;n_controls_EAS;n_controls_EUR;n_controls_MID;saige_heritability_AFR;saige_heritability_AMR;saige_heritability_CSA;saige_heritability_EAS;saige_heritability_EUR;saige_heritability_MID;lambda_gc_AFR;lambda_gc_AMR;lambda_gc_CSA;lambda_gc_EAS;lambda_gc_EUR;lambda_gc_MID;filename;filename_tabix;aws_link;aws_link_tabix;wget;wget_tabix;size_in_bytes;size_in_bytes_tabix;md5_hex;md5_hex_tabix;phenocode_annotate_lst;category_manual;coding_description.1;new_pheno_annot;AB_ICD10;AB_PRESUMED.DIAGNOSIS
11;1140865010;95;95;540;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;viscotears liquid eye gel;UK Biobank Assessment Centre > Verbal interview > Medications;1088;827;261;EUR;1;NA;NA;NA;NA;956;NA;NA;NA;NA;NA;419517;NA;NA;NA;NA;NA;0.14247;NA;NA;NA;NA;NA;1.0131;NA;categorical-20003-both_sexes-1140865010.tsv.bgz;categorical-20003-both_sexes-1140865010.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140865010.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140865010.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140865010.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140865010.tsv.bgz.tbi;536749191;1751679;946845b48db8b78d8b282e2664f1c243;e43273d59494f0586e2632b2252a520e;CA_Medications_h0.14247_n1088;Medications;viscotears liquid eye gel;CA_PRS_viscotears_liquid_eye_gel_h0.14247_n1088;M35_H04;Sjograns/Xerostomia
12;1140865016;96;96;541;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;zolpidem;UK Biobank Assessment Centre > Verbal interview > Medications;315;194;121;EUR;1;NA;NA;NA;NA;277;NA;NA;NA;NA;NA;420196;NA;NA;NA;NA;NA;0.062107;NA;NA;NA;NA;NA;0.96;NA;categorical-20003-both_sexes-1140865016.tsv.bgz;categorical-20003-both_sexes-1140865016.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140865016.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140865016.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140865016.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140865016.tsv.bgz.tbi;522567594;1750794;97e2ff8b3a8914e560b4c1bb8f0749ed;8994b4cc0c6228583274561427d84765;CA_Medications_h0.06211_n315;Medications;zolpidem;CA_PRS_zolpidem_h0.06211_n315;F51;Insomnia
13;1140865578;97;97;552;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;mesalazine;UK Biobank Assessment Centre > Verbal interview > Medications;669;318;351;EUR;1;NA;NA;NA;NA;580;NA;NA;NA;NA;NA;419893;NA;NA;NA;NA;NA;0.14201;NA;NA;NA;NA;NA;1.0012;NA;categorical-20003-both_sexes-1140865578.tsv.bgz;categorical-20003-both_sexes-1140865578.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140865578.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140865578.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140865578.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140865578.tsv.bgz.tbi;532086597;1751328;a826191d16a5382228722b501d704bc1;212891ffbea6fc95f064c0d959279b8d;CA_Medications_h0.14201_n669;Medications;mesalazine;CA_PRS_mesalazine_h0.14201_n669;K51_M06;UC/IBD
14;1140865716;98;98;559;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;senna;UK Biobank Assessment Centre > Verbal interview > Medications;937;618;319;EUR;1;NA;NA;NA;NA;781;NA;NA;NA;NA;NA;419692;NA;NA;NA;NA;NA;0.23121;NA;NA;NA;NA;NA;1.0167;NA;categorical-20003-both_sexes-1140865716.tsv.bgz;categorical-20003-both_sexes-1140865716.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140865716.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140865716.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140865716.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140865716.tsv.bgz.tbi;535257104;1751640;28df19a5be2bc0203559a125a880cf79;25d738dea6530e510641be0aef43ae3f;CA_Medications_h0.23121_n937;Medications;senna;CA_PRS_senna_h0.23121_n937;K59;Constipation
15;1140865800;99;99;562;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;lactulose product;UK Biobank Assessment Centre > Verbal interview > Medications;1272;833;439;EUR;1;NA;NA;NA;NA;1099;NA;NA;NA;NA;NA;419374;NA;NA;NA;NA;NA;0.1315;NA;NA;NA;NA;NA;1.0487;NA;categorical-20003-both_sexes-1140865800.tsv.bgz;categorical-20003-both_sexes-1140865800.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140865800.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140865800.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140865800.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140865800.tsv.bgz.tbi;538267392;1751584;c59b8f6adbb823322e1513e223175a54;f72d8675c2d24e4b66a31e1194f183b0;CA_Medications_h0.13150_n1272;Medications;lactulose product;CA_PRS_lactulose_product_h0.13150_n1272;K59;Constipation
16;1140866116;100;100;567;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;frusemide;UK Biobank Assessment Centre > Verbal interview > Medications;835;435;400;EUR;1;NA;NA;NA;NA;717;NA;NA;NA;NA;NA;419756;NA;NA;NA;NA;NA;0.19385;NA;NA;NA;NA;NA;1.0111;NA;categorical-20003-both_sexes-1140866116.tsv.bgz;categorical-20003-both_sexes-1140866116.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140866116.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140866116.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140866116.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140866116.tsv.bgz.tbi;533947776;1751605;53925c803a80c75eca8865497482129b;6a390549f5b94766babb2af0f8b16f20;CA_Medications_h0.19385_n835;Medications;frusemide;CA_PRS_frusemide_h0.19385_n835;I50;Heart Failure
17;1140866236;101;101;569;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;spironolactone;UK Biobank Assessment Centre > Verbal interview > Medications;877;358;519;EUR;1;NA;NA;NA;NA;778;NA;NA;NA;NA;NA;419695;NA;NA;NA;NA;NA;0.096873;NA;NA;NA;NA;NA;0.9794;NA;categorical-20003-both_sexes-1140866236.tsv.bgz;categorical-20003-both_sexes-1140866236.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140866236.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140866236.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140866236.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140866236.tsv.bgz.tbi;534998154;1751823;3bbdc5d1334afb4664298c12330f99d8;3cb0bee3d386cdb239243c79aaa16d92;CA_Medications_h0.09687_n877;Medications;spironolactone;CA_PRS_spironolactone_h0.09687_n877;I50_K74_I10;HF/Cirrhosis/HTN
18;1140866280;102;102;570;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;bumetanide;UK Biobank Assessment Centre > Verbal interview > Medications;378;185;193;EUR;1;NA;NA;NA;NA;333;NA;NA;NA;NA;NA;420140;NA;NA;NA;NA;NA;0.2057;NA;NA;NA;NA;NA;0.98998;NA;categorical-20003-both_sexes-1140866280.tsv.bgz;categorical-20003-both_sexes-1140866280.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140866280.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140866280.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140866280.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140866280.tsv.bgz.tbi;525028665;1750785;a6fdc7c643882f966f9ed2d971d22a5e;65b90cd63c37c4653743743ec8c3c06a;CA_Medications_h0.20570_n378;Medications;bumetanide;CA_PRS_bumetanide_h0.20570_n378;I50;Heart Failure
19;1140867504;103;103;577;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;priadel 200mg m/r tablet;UK Biobank Assessment Centre > Verbal interview > Medications;298;176;122;EUR;1;NA;NA;NA;NA;270;NA;NA;NA;NA;NA;420203;NA;NA;NA;NA;NA;0.11758;NA;NA;NA;NA;NA;1.0378;NA;categorical-20003-both_sexes-1140867504.tsv.bgz;categorical-20003-both_sexes-1140867504.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140867504.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140867504.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140867504.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140867504.tsv.bgz.tbi;522223629;1751009;d7379697c3711e018414aaa226be27ed;7c71439080550e2d0e513803c3172b58;CA_Medications_h0.11758_n298;Medications;priadel 200mg m/r tablet;CA_PRS_priadel_200mg_m_r_tablet_h0.11758_n298;F31;Mood Disorder
20;1140867878;104;104;581;categorical;20003;both_sexes;;Treatment/medication code;Code for treatment Negative codes indicate free-text entry.;sertraline;UK Biobank Assessment Centre > Verbal interview > Medications;1994;1327;667;EUR;1;NA;NA;NA;NA;1737;NA;NA;NA;NA;NA;418736;NA;NA;NA;NA;NA;0.070393;NA;NA;NA;NA;NA;1.0378;NA;categorical-20003-both_sexes-1140867878.tsv.bgz;categorical-20003-both_sexes-1140867878.tsv.bgz.tbi;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140867878.tsv.bgz;https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140867878.tsv.bgz.tbi;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140867878.tsv.bgz;wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/categorical-20003-both_sexes-1140867878.tsv.bgz.tbi;541902504;1751800;3bbae62732297502b4726eeaab293e3a;4361dcb57eaba7d221c44d7fbc3bbbf3;CA_Medications_h0.07039_n1994;Medications;sertraline;CA_PRS_sertraline_h0.07039_n1994;F31_F32;Mood Disorder/Depression
